variant_name,window,horizon,proof_unit_type,capacity_usd,sample_count,retained_sample_count,invalid_count,baseline_p10,baseline_p5,baseline_p1,filtered_median,filtered_p10,filtered_p5,filtered_p1,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,tail_improved,opportunity_retention_rate,false_filter_rate,missed_profit_rate,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,worst_pool_contribution,sample_sufficiency
fee_velocity_positive_net_strict,recent_24h,2h,pool_window,50,320,0,36,-0.179036996105911,-0.555802612463727,-2.63859340709767,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,15m,pool_window,10,384,0,0,-0.000734622366618248,-0.461600703701914,-1.27354731296865,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,15m,pool_window,20,384,0,0,-0.000734622366618248,-0.461600703701914,-1.27354731296865,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,15m,pool_window,50,384,0,0,-0.000734622366618248,-0.461600703701914,-1.27354731296865,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,30m,pool_window,10,384,0,0,-0.0303095834844918,-0.541146901964288,-1.40254982664002,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,30m,pool_window,20,384,0,0,-0.0303095834844918,-0.541146901964288,-1.40254982664002,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,30m,pool_window,50,384,0,0,-0.0303095834844918,-0.541146901964288,-1.40254982664002,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,1h,pool_window,10,384,0,0,-0.455456431600104,-0.775860418786754,-1.80279261136631,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,1h,pool_window,20,384,0,0,-0.455456431600104,-0.775860418786754,-1.80279261136631,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,1h,pool_window,50,384,0,0,-0.455456431600104,-0.775860418786754,-1.80279261136631,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,2h,pool_window,10,384,0,0,-0.671600659562519,-0.939153407894745,-1.81758349879728,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,2h,pool_window,20,384,0,0,-0.671600659562519,-0.939153407894745,-1.81758349879728,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_48h,2h,pool_window,50,384,0,0,-0.671600659562519,-0.939153407894745,-1.81758349879728,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_72h,15m,pool_window,10,384,0,0,-0.0730896157841189,-0.571951942896834,-11.1909129199356,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
fee_velocity_positive_net_strict,recent_72h,15m,pool_window,20,384,0,0,-0.0730896157841189,-0.571951942896834,-11.1909129199356,,,,,,,,False,0.0,1.0,1.0,,,,INSUFFICIENT
