window,horizon,proof_unit_type,sample_count,valid_count,invalid_count,hold_median,hold_p10,hold_p5,hold_p1,hold_win_rate,risk_median,risk_p10,risk_p5,risk_p1,risk_win_rate,no_entry_quarantine_count,opportunity_count,loss_saved_median,loss_saved_p10,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,false_exit_rate,missed_profit_rate,fee_proxy_median,exit_cost_proxy_median,fee_proxy_vs_exit_cost_median,worst_pool_contribution,worst_event_contribution
recent_24h,1h,intent_window,388,372,16,0.18309023949468609,0.010074518390410958,0.004234326894746232,0.0005499732427693971,0.9973118279569892,0.18309023949468609,0.010074518390410958,0.004234326894746232,0.0005499732427693971,0.9973118279569892,16,371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01772859702528792,1.1673999774883241,-1.1272999784263107,1.0,1.0
recent_24h,1h,pool_window,388,368,20,0.017867543496524464,-0.045106041189391176,-0.48099291702747166,-2.656471289685926,0.7907608695652174,0.017867543496524464,-0.045106041189391176,-0.48099291702747166,-2.656471289685926,0.7907608695652174,20,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017829224425836454,1.175275480671642,-1.1349636712325644,0.592601371946355,0.9999999999999998
recent_24h,2h,intent_window,388,356,32,0.18794308637136511,0.008868099192170575,0.004234326894746232,0.0005499732427693971,0.9971910112359551,0.18794308637136511,0.008868099192170575,0.004234326894746232,0.0005499732427693971,0.9971910112359551,32,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03541791936046128,1.1673999774883241,-1.0871999793642972,1.0,1.0
recent_24h,2h,pool_window,388,352,36,0.019409319913376924,-0.17323414748712623,-0.5558026124637273,-2.636068429303282,0.7556818181818182,0.019409319913376924,-0.17323414748712623,-0.5558026124637273,-2.636068429303282,0.7556818181818182,36,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035618951238674604,1.1748135387873606,-1.0941623603749049,0.7228695139262945,1.0000000000000004
recent_24h,30m,intent_window,388,380,8,0.18309023949468609,0.008868099192170575,0.004234326894746232,0.0005499732427693971,0.9973684210526316,0.18309023949468609,0.008868099192170575,0.004234326894746232,0.0005499732427693971,0.9973684210526316,8,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00914008616198992,1.1673999774883241,-1.1473499779573173,1.0,1.0
recent_24h,30m,pool_window,388,376,12,0.009159141505739352,-0.01415881823161648,-0.21227473926336438,-2.6222401117880234,0.8377659574468085,0.009159141505739352,-0.01415881823161648,-0.21227473926336438,-2.6222401117880234,0.8377659574468085,12,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009191965231154772,1.1754737161169064,-1.1553774265224308,0.5869357118551406,1.0000000000000007
recent_48h,15m,intent_window,355,355,0,0.13793195746576714,0.011472012257740971,0.004574993637120883,0.00025532944209771813,0.9971830985915493,0.13793195746576714,0.011472012257740971,0.004574993637120883,0.00025532944209771813,0.9971830985915493,0,354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012389118333235189,1.3943553599905782,-1.381966241657343,1.0,1.0
recent_48h,15m,pool_window,380,380,0,0.005732760561603984,-0.0008728076085881593,-0.48154889218074454,-1.2735473129686488,0.8868421052631579,0.005732760561603984,-0.0008728076085881593,-0.48154889218074454,-1.2735473129686488,0.8868421052631579,0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004603727492806416,1.2976261668144622,-1.2957790146909078,0.4799050450665439,1.0000000000000002
recent_48h,1h,intent_window,355,355,0,0.15245621155195294,0.011571741820617376,0.004904625321401568,0.0006888387254775808,0.9971830985915493,0.15245621155195294,0.010598549236433996,0.004049352795036043,0.0006888387254775808,0.9971830985915493,0,354,0.0,0.0,-0.00097319258418338,-0.0008552725263655248,0.0,0.0,0.04225352112676056,0.04982753346022898,1.4008608030454954,-1.3510332695852665,1.0,1.0
recent_48h,1h,pool_window,380,380,0,0.02020714644710586,-0.3958013269462675,-0.7964807474639133,-1.8027926113663106,0.7868421052631579,0.02002038820481989,-0.3958013269462675,-0.7964807474639133,-1.8027926113663106,0.7868421052631579,0,299,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.018407835382298347,1.2963313583486156,-1.2872244633094216,0.36087406804720734,0.9332527158374687
