pool_address,token_pair,bin_step,anchor_token,base_fee_bps,max_fee_bps,notional_usd,hold_window,hold_hours,scenario,daily_turnover,gross_fee_usd,il_lvr_cost_usd,total_cost_usd,net_ev_usd,net_ev_pct,quote_ready,real_fee_10u_usd,real_fee_20u_usd,confidence,heuristic,scope,invalid_reason
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,optimistic,0.005,4e-06,0.000833,0.156,-0.156829,-0.7841,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,realistic,0.005,4e-06,0.004167,0.156,-0.160162,-0.8008,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,1h,1,conservative,0.005,4e-06,0.016667,0.156,-0.172662,-0.8633,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,2h,2,zero_il_lvr,0.005,8e-06,0.0,0.156,-0.155992,-0.78,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,2h,2,optimistic,0.005,8e-06,0.001667,0.156,-0.157658,-0.7883,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,2h,2,realistic,0.005,8e-06,0.008333,0.156,-0.164325,-0.8216,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,2h,2,conservative,0.005,8e-06,0.033333,0.156,-0.189325,-0.9466,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,6h,6,zero_il_lvr,0.005,2.5e-05,0.0,0.156,-0.155975,-0.7799,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,6h,6,optimistic,0.005,2.5e-05,0.005,0.156,-0.160975,-0.8049,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,6h,6,realistic,0.005,2.5e-05,0.025,0.156,-0.180975,-0.9049,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,6h,6,conservative,0.005,2.5e-05,0.1,0.156,-0.255975,-1.2799,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,24h,24,zero_il_lvr,0.005,0.0001,0.0,0.156,-0.1559,-0.7795,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,24h,24,optimistic,0.005,0.0001,0.02,0.156,-0.1759,-0.8795,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,24h,24,realistic,0.005,0.0001,0.1,0.156,-0.2559,-1.2795,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,24h,24,conservative,0.005,0.0001,0.4,0.156,-0.5559,-2.7795,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,7d,168,zero_il_lvr,0.005,0.0007,0.0,0.156,-0.1553,-0.7765,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,7d,168,optimistic,0.005,0.0007,0.14,0.156,-0.2953,-1.4765,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,7d,168,realistic,0.005,0.0007,0.7,0.156,-0.8553,-4.2765,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,20,7d,168,conservative,0.005,0.0007,2.8,0.156,-2.9553,-14.7765,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,15m,0.25,zero_il_lvr,0.005,5e-06,0.0,0.156,-0.155995,-0.156,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,15m,0.25,optimistic,0.005,5e-06,0.001042,0.156,-0.157036,-0.157,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,15m,0.25,realistic,0.005,5e-06,0.005208,0.156,-0.161203,-0.1612,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,15m,0.25,conservative,0.005,5e-06,0.020833,0.156,-0.176828,-0.1768,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,30m,0.5,zero_il_lvr,0.005,1e-05,0.0,0.156,-0.15599,-0.156,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,30m,0.5,optimistic,0.005,1e-05,0.002083,0.156,-0.158073,-0.1581,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,30m,0.5,realistic,0.005,1e-05,0.010417,0.156,-0.166406,-0.1664,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,30m,0.5,conservative,0.005,1e-05,0.041667,0.156,-0.197656,-0.1977,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,1h,1,zero_il_lvr,0.005,2.1e-05,0.0,0.156,-0.155979,-0.156,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,1h,1,optimistic,0.005,2.1e-05,0.004167,0.156,-0.160146,-0.1601,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,1h,1,realistic,0.005,2.1e-05,0.020833,0.156,-0.176812,-0.1768,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,1h,1,conservative,0.005,2.1e-05,0.083333,0.156,-0.239312,-0.2393,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,2h,2,zero_il_lvr,0.005,4.2e-05,0.0,0.156,-0.155958,-0.156,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,2h,2,optimistic,0.005,4.2e-05,0.008333,0.156,-0.164292,-0.1643,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,2h,2,realistic,0.005,4.2e-05,0.041667,0.156,-0.197625,-0.1976,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,2h,2,conservative,0.005,4.2e-05,0.166667,0.156,-0.322625,-0.3226,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,6h,6,zero_il_lvr,0.005,0.000125,0.0,0.156,-0.155875,-0.1559,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,6h,6,optimistic,0.005,0.000125,0.025,0.156,-0.180875,-0.1809,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
4vQaxcqAyJFcHXZg8o8XhmibJAwSW3CWDgfuRJUoE7wr,98sMhv…/EPjFWd…,50,USDC,10,1000,100,6h,6,realistic,0.005,0.000125,0.125,0.156,-0.280875,-0.2809,True,0.009227,0.018452,0.3,True,targeted_top_pool_feed,
