pool,pool_name,size_usd,range_pct,hold_hours,rebal_rule,hedge_strategy,hedge_ratio_used,dynamic_hedge_avg,events_total,events_in_range,in_range_pct,rebalance_count,lp_fee_usd,il_usd,hedge_notional_usd,funding_apr_pct,funding_income_usd,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,gas_initial_usd,net_pnl_unhedged_usd,net_pnl_hedged_usd,signal_noise_hedged,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,none,dynamic,0.574962,0.574962,28483,28483,1.000000,0,37.200000,2855.995894,143.740588,0.825600,0.003251,0.028748,0.000000,4.250376,0.079500,-2818.875394,-2823.151267,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,hourly,static_0.5,0.500000,,28483,28483,1.000000,23,37.200000,118.317986,125.000000,0.825600,0.002827,0.025000,3.657000,5.000000,0.079500,-81.197486,-89.876659,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,hourly,static_0.75,0.750000,,28483,28483,1.000000,23,37.200000,118.317986,187.500000,0.825600,0.004241,0.037500,3.657000,2.500000,0.079500,-81.197486,-87.387745,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,hourly,dynamic,0.574962,0.574962,28483,28483,1.000000,23,37.200000,118.317986,143.740588,0.825600,0.003251,0.028748,3.657000,4.250376,0.079500,-81.197486,-89.130359,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_0.5pct,static_0.5,0.500000,,28483,28483,1.000000,25394,37.200000,14.343338,125.000000,0.825600,0.002827,0.025000,4037.646000,5.000000,0.079500,22.777162,-4019.891011,2.363259,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_0.5pct,static_0.75,0.750000,,28483,28483,1.000000,25394,37.200000,14.343338,187.500000,0.825600,0.004241,0.037500,4037.646000,2.500000,0.079500,22.777162,-4017.402097,2.714030,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_0.5pct,dynamic,0.574962,0.574962,28483,28483,1.000000,25394,37.200000,14.343338,143.740588,0.825600,0.003251,0.028748,4037.646000,4.250376,0.079500,22.777162,-4019.144711,2.458536,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_1pct,static_0.5,0.500000,,28483,28483,1.000000,19884,37.200000,207.471486,125.000000,0.825600,0.002827,0.025000,3161.556000,5.000000,0.079500,-170.350986,-3336.929159,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_1pct,static_0.75,0.750000,,28483,28483,1.000000,19884,37.200000,207.471486,187.500000,0.825600,0.004241,0.037500,3161.556000,2.500000,0.079500,-170.350986,-3334.440245,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_1pct,dynamic,0.574962,0.574962,28483,28483,1.000000,19884,37.200000,207.471486,143.740588,0.825600,0.003251,0.028748,3161.556000,4.250376,0.079500,-170.350986,-3336.182859,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_2pct,static_0.5,0.500000,,28483,28483,1.000000,8589,37.200000,1064.915593,125.000000,0.825600,0.002827,0.025000,1365.651000,5.000000,0.079500,-1027.795093,-2398.468265,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_2pct,static_0.75,0.750000,,28483,28483,1.000000,8589,37.200000,1064.915593,187.500000,0.825600,0.004241,0.037500,1365.651000,2.500000,0.079500,-1027.795093,-2395.979351,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,10,24,gt_2pct,dynamic,0.574962,0.574962,28483,28483,1.000000,8589,37.200000,1064.915593,143.740588,0.825600,0.003251,0.028748,1365.651000,4.250376,0.079500,-1027.795093,-2397.721966,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,none,static_0.5,0.500000,,28483,26877,0.943615,0,203.820946,5329.395102,250.000000,0.825600,0.005655,0.050000,0.000000,10.000000,0.079500,-5125.653656,-5135.698001,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,none,static_0.75,0.750000,,28483,26877,0.943615,0,203.820946,5329.395102,375.000000,0.825600,0.008482,0.075000,0.000000,5.000000,0.079500,-5125.653656,-5130.720174,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,none,dynamic,0.574962,0.574962,28483,26877,0.943615,0,203.820946,5329.395102,287.481176,0.825600,0.006503,0.057496,0.000000,8.500753,0.079500,-5125.653656,-5134.205403,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,hourly,static_0.5,0.500000,,28483,27470,0.964435,23,208.317944,226.529639,250.000000,0.825600,0.005655,0.050000,3.657000,10.000000,0.079500,-18.291195,-31.992540,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,hourly,static_0.75,0.750000,,28483,27470,0.964435,23,208.317944,226.529639,375.000000,0.825600,0.008482,0.075000,3.657000,5.000000,0.079500,-18.291195,-27.014713,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,hourly,dynamic,0.574962,0.574962,28483,27470,0.964435,23,208.317944,226.529639,287.481176,0.825600,0.006503,0.057496,3.657000,8.500753,0.079500,-18.291195,-30.499941,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_0.5pct,static_0.5,0.500000,,28483,28483,1.000000,25394,216.000000,28.686676,250.000000,0.825600,0.005655,0.050000,4037.646000,10.000000,0.079500,187.233824,-3860.456521,9.683609,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_0.5pct,static_0.75,0.750000,,28483,28483,1.000000,25394,216.000000,28.686676,375.000000,0.825600,0.008482,0.075000,4037.646000,5.000000,0.079500,187.233824,-3855.478694,11.120915,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_0.5pct,dynamic,0.574962,0.574962,28483,28483,1.000000,25394,216.000000,28.686676,287.481176,0.825600,0.006503,0.057496,4037.646000,8.500753,0.079500,187.233824,-3858.963923,10.074013,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_1pct,static_0.5,0.500000,,28483,28483,1.000000,19884,216.000000,414.942972,250.000000,0.825600,0.005655,0.050000,3161.556000,10.000000,0.079500,-199.022472,-3370.622817,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_1pct,static_0.75,0.750000,,28483,28483,1.000000,19884,216.000000,414.942972,375.000000,0.825600,0.008482,0.075000,3161.556000,5.000000,0.079500,-199.022472,-3365.644990,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_1pct,dynamic,0.574962,0.574962,28483,28483,1.000000,19884,216.000000,414.942972,287.481176,0.825600,0.006503,0.057496,3161.556000,8.500753,0.079500,-199.022472,-3369.130219,0.000000,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,500,2,24,gt_2pct,static_0.5,0.500000,,28483,28482,0.999965,8589,215.992417,2129.608870,250.000000,0.825600,0.005655,0.050000,1365.651000,10.000000,0.079500,-1913.695954,-3289.391299,0.000000,NO_GO
