variant_name,window,horizon,proof_unit_type,raw_sample_count,valid_sample_count,entry_allowed_count,quarantined_count,invalid_count,data_quality_distribution,regime_distribution,quarantine_reason_distribution,fee_proxy_coverage,exit_depth_coverage
regime_exclude_data_stale,recent_24h,30m,pool_window,352,340,340,0,12,"{""ok"": 340, ""invalid"": 12}","{""WHALE_OR_HOLDER_CONCENTRATED"": 85, ""EXIT_DEPTH_THIN"": 49, ""HEALTHY_SHORT_HOLD"": 201, ""VOLATILE_BUT_LIQUID"": 4, ""PRICE_SPIKE_VOLATILE"": 1}","{""invalid_sample"": 12}",1.0,1.0
regime_exclude_data_stale,recent_48h,15m,intent_window,364,364,364,0,0,"{""ok"": 364}","{""HEALTHY_SHORT_HOLD"": 115, ""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,15m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""HEALTHY_SHORT_HOLD"": 140, ""EXIT_DEPTH_THIN"": 123, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,1h,intent_window,364,364,364,0,0,"{""ok"": 364}","{""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""HEALTHY_SHORT_HOLD"": 115, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,1h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 140, ""EXIT_DEPTH_THIN"": 123, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,2h,intent_window,364,364,364,0,0,"{""ok"": 364}","{""HEALTHY_SHORT_HOLD"": 115, ""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,2h,pool_window,384,384,384,0,0,"{""ok"": 384}","{""HEALTHY_SHORT_HOLD"": 140, ""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""EXIT_DEPTH_THIN"": 123, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,30m,intent_window,364,364,364,0,0,"{""ok"": 364}","{""EXIT_DEPTH_THIN"": 125, ""WHALE_OR_HOLDER_CONCENTRATED"": 98, ""HEALTHY_SHORT_HOLD"": 115, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 21}",{},1.0,1.0
regime_exclude_data_stale,recent_48h,30m,pool_window,384,384,384,0,0,"{""ok"": 384}","{""WHALE_OR_HOLDER_CONCENTRATED"": 96, ""HEALTHY_SHORT_HOLD"": 140, ""EXIT_DEPTH_THIN"": 123, ""TVL_DROP"": 5, ""VOLATILE_BUT_LIQUID"": 20}",{},1.0,1.0
regime_exclude_data_stale,recent_72h,15m,intent_window,374,374,374,0,0,"{""ok"": 374}","{""EXIT_DEPTH_THIN"": 140, ""HEALTHY_SHORT_HOLD"": 100, ""WHALE_OR_HOLDER_CONCENTRATED"": 99, ""PRICE_SPIKE_VOLATILE"": 14, ""UNKNOWN"": 3, ""VOLATILE_BUT_LIQUID"": 16, ""TVL_DROP"": 2}",{},1.0,1.0
