pool_address,token_pair,fee_tier,quote_side,virtual_notional,staticcall_attempted,selector_used,error_type,error_message_redacted,likely_root_cause,fixability
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,WBNB/USDC,100,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x81A9b5F18179cE2bf8f001b8a634Db80771F1824,WBNB/USDC,500,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0xc721dECCD986D54B39e8c29428A1f06155c3671e,WBNB/USDC,2500,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token0_to_token1,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token0_to_token1,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token0_to_token1,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token0_to_token1,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token0_to_token1,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token1_to_token0,20,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token1_to_token0,100,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token1_to_token0,500,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token1_to_token0,1000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
0x18C5aFFA481e7EDbF37405AdE553827d6387899f,WBNB/USDC,10000,token1_to_token0,2000,yes,0xb3b11b7e,revert,staticcall_failed:revert,revert,medium
