run_id,pool_id,token_pair,chain,block_number,snapshot_ts,token0,token1,fee_tier,tick_spacing,sqrt_price_x96,current_tick,current_liquidity,tick_index,initialized,liquidity_gross,liquidity_net,fee_growth_outside0_x128,fee_growth_outside1_x128,seconds_outside,tick_distance_from_current,scan_method,confidence,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200408,True,307429000018857,307429000018857,170091839847245293224618084106691358029863,499608959854759305267249204185283,32635510,26,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200407,True,23000498767290573,23000498767290573,13313839670195915819148619482485854012,26414783542564229622403622672,3220,27,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200462,True,1274663159213914,1274663159213914,425973562427204199120096787496310116981679,1182187413586589509386769495945851,1780286969,28,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200406,True,250512510835,108447953195,170081869246515708859205978719898972233124,499592268749977880578178398428965,32651376,28,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200463,True,1549819971916837,1549819971916837,423642675419083680996901550113083757157367,1177426982654948396890051906132342,1779525929,29,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200404,True,558487279027332,558477042402306,359825076413851468368848359163855417192671,1070218980328979826068621214094158,71134596,30,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200465,True,3313224722906325,3313224722906325,423667094977757920867070554647962462403288,1177481075500463017181312874322186,1779543255,31,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200403,True,42587223367021,42587223367021,11616004516593824400749061878104862432,23072553415510689877632581043,2634,31,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200402,True,2665461199130965,2665461199130965,192554964395929304037414279206765992670,380445513254170344110456781166,56536,32,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH/USDC,base,46765327,1780319998,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,100,1,3521667817631740628659579,-200434,517120156344851039,-200401,True,10756859711811708,10756859711811708,311485694379895272600121957884278780191859,916113251770577165901501858048309,57993804,33,tick_bitmap_plus_ticks,high,,True,False,1780319998
20260601_130245,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,base,,1780320058,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B,0x4200000000000000000000000000000000000006,5,,,,,,,,,,,,,state_read_failed,low,pool_state_read_failed:RuntimeError,True,False,1780320058
20260601_130245,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,base,,1780320062,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF,0x4200000000000000000000000000000000000006,5,,,,,,,,,,,,,state_read_failed,low,pool_state_read_failed:RuntimeError,True,False,1780320062
