window,signal_name,horizon,proof_unit_type,trigger_count,trigger_rate,first_trigger_delay_median,first_trigger_delay_p90,false_exit_rate,missed_profit_rate,hold_p10,risk_exit_p10,tail_improve_p10,hold_p5,risk_exit_p5,tail_improve_p5,hold_p1,risk_exit_p1,tail_improve_p1,signal_quality
recent_48h,price_spike_down,30m,intent_window,0,0.0,,,,,0.002393530659020371,0.002393530659020371,0.0,0.0014385390418141242,0.0014385390418141242,0.0,0.0012861906567849246,0.0012861906567849246,0.0,INSUFFICIENT
recent_48h,price_spike_down,30m,pool_window,0,0.0,,,,,-0.08533931332381811,-0.08533931332381811,0.0,-0.5565147054119176,-0.5565147054119176,0.0,-1.402549826640024,-1.402549826640024,0.0,INSUFFICIENT
recent_72h,price_spike_down,15m,intent_window,0,0.0,,,,,-0.011791022684917607,-0.011791022684917607,0.0,-0.013167260547717776,-0.013167260547717776,0.0,-0.01682085353914431,-0.01682085353914431,0.0,INSUFFICIENT
recent_72h,price_spike_down,15m,pool_window,0,0.0,,,,,-0.05763642029926805,-0.05763642029926805,0.0,-0.513709483485225,-0.513709483485225,0.0,-11.190912919935645,-11.190912919935645,0.0,INSUFFICIENT
recent_72h,price_spike_down,1h,intent_window,0,0.0,,,,,-0.01127048055815294,-0.01127048055815294,0.0,-0.01224324932456966,-0.01224324932456966,0.0,-0.015595249104791264,-0.015595249104791264,0.0,INSUFFICIENT
recent_72h,price_spike_down,1h,pool_window,0,0.0,,,,,-0.29511448749555924,-0.29511448749555924,0.0,-2.4456448737907954,-2.4456448737907954,0.0,-11.17723729385538,-11.17723729385538,0.0,INSUFFICIENT
recent_72h,price_spike_down,2h,intent_window,0,0.0,,,,,-0.010643634614012853,-0.010643634614012853,0.0,-0.012293267905491234,-0.012293267905491234,0.0,-0.015595249104791264,-0.015595249104791264,0.0,INSUFFICIENT
recent_72h,price_spike_down,2h,pool_window,0,0.0,,,,,-0.506520668752117,-0.506520668752117,0.0,-2.779001423318402,-2.779001423318402,0.0,-11.439118638933422,-11.439118638933422,0.0,INSUFFICIENT
recent_72h,price_spike_down,30m,intent_window,0,0.0,,,,,-0.011215457792388861,-0.011215457792388861,0.0,-0.011791022684917607,-0.011791022684917607,0.0,-0.013167260547717776,-0.013167260547717776,0.0,INSUFFICIENT
recent_72h,price_spike_down,30m,pool_window,0,0.0,,,,,-0.19400430373186153,-0.19400430373186153,0.0,-1.2985536605178825,-1.2985536605178825,0.0,-11.196171517226217,-11.196171517226217,0.0,INSUFFICIENT
recent_168h,price_spike_down,15m,intent_window,0,0.0,,,,,-0.017650107782074542,-0.017650107782074542,0.0,-0.027453406510744568,-0.027453406510744568,0.0,-2.5543076901201403,-2.5543076901201403,0.0,INSUFFICIENT
recent_168h,price_spike_down,15m,pool_window,0,0.0,,,,,-0.01676422797585305,-0.01676422797585305,0.0,-0.4550626817902124,-0.4550626817902124,0.0,-2.4641239501903813,-2.4641239501903813,0.0,INSUFFICIENT
recent_168h,price_spike_down,1h,intent_window,0,0.0,,,,,-0.01954181599786864,-0.01954181599786864,0.0,-2.483184231619944,-2.483184231619944,0.0,-2.6029376769269135,-2.6029376769269135,0.0,INSUFFICIENT
recent_168h,price_spike_down,1h,pool_window,0,0.0,,,,,-0.2876195492331995,-0.2876195492331995,0.0,-1.0842217114837083,-1.0842217114837083,0.0,-4.3988834810120885,-4.3988834810120885,0.0,INSUFFICIENT
recent_168h,price_spike_down,2h,intent_window,0,0.0,,,,,-0.021278177443804225,-0.021278177443804225,0.0,-1.8863988495105417,-1.8863988495105417,0.0,-2.545426598351895,-2.545426598351895,0.0,INSUFFICIENT
