window,horizon,proof_unit_type,sample_count,valid_count,hold_p10,risk_exit_p10,hold_p5,risk_exit_p5,hold_p1,risk_exit_p1,tail_improve_p10,tail_improve_p5,tail_improve_p1,false_exit_rate,missed_profit_rate,no_entry_quarantine_helpful,risk_exit_helpful,primary_failure_reason
recent_48h,2h,pool_window,384,384,-0.6786761254600302,-0.6906223338734889,-0.9440569379566691,-0.889117462937077,-1.7672828269845282,-1.7672828269845282,-0.011946208413458725,0.054939475019592066,0.0,0.0390625,0.0390625,False,False,unknown
recent_48h,30m,intent_window,357,31,0.002393530659020371,0.002393530659020371,0.0014385390418141242,0.0014385390418141242,0.0012861906567849246,0.0012861906567849246,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,True,False,risk_signal_too_late
recent_48h,30m,pool_window,384,384,-0.08533931332381811,-0.08533931332381811,-0.5565147054119176,-0.5565147054119176,-1.402549826640024,-1.402549826640024,0.0,0.0,0.0,0.005208333333333333,0.005208333333333333,False,False,risk_signal_too_late
recent_72h,15m,intent_window,381,36,-0.011791022684917607,-0.011791022684917607,-0.013167260547717776,-0.013167260547717776,-0.01682085353914431,-0.01682085353914431,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_72h,15m,pool_window,384,384,-0.05763642029926805,-0.05763642029926805,-0.513709483485225,-0.513709483485225,-11.190912919935645,-11.190912919935645,0.0,0.0,0.0,0.0,0.0,False,False,risk_signal_too_late
recent_72h,1h,intent_window,381,36,-0.01127048055815294,-0.01127048055815294,-0.01224324932456966,-0.01224324932456966,-0.015595249104791264,-0.015595249104791264,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_72h,1h,pool_window,384,384,-0.29511448749555924,-0.29511448749555924,-2.4456448737907954,-2.4456448737907954,-11.17723729385538,-11.17723729385538,0.0,0.0,0.0,0.0,0.0,False,False,risk_signal_too_late
recent_72h,2h,intent_window,381,36,-0.010643634614012853,-0.010643634614012853,-0.012293267905491234,-0.012293267905491234,-0.015595249104791264,-0.015595249104791264,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_72h,2h,pool_window,384,384,-0.506520668752117,-0.506520668752117,-2.779001423318402,-2.779001423318402,-11.439118638933422,-11.439118638933422,0.0,0.0,0.0,0.0,0.0,False,False,risk_signal_too_late
recent_72h,30m,intent_window,381,36,-0.011215457792388861,-0.011215457792388861,-0.011791022684917607,-0.011791022684917607,-0.013167260547717776,-0.013167260547717776,0.0,0.0,0.0,0.0,0.0,True,False,risk_signal_too_late
recent_72h,30m,pool_window,384,384,-0.19400430373186153,-0.19400430373186153,-1.2985536605178825,-1.2985536605178825,-11.196171517226217,-11.196171517226217,0.0,0.0,0.0,0.0,0.0,False,False,risk_signal_too_late
