horizon,position_id,pool_id,token_pair,open_time,exit_time,holding_minutes,entry_value_usd,final_value_usd,net_pnl_pct,outcome_type,exit_reason,exit_action,score_open_decision,score_first_selected,score_max_before_open,score_median_before_open,selected_trace_count,top20_trace_count,decision_trace_count,terminal_future_flag,data_quality_status,invalid_reason,pool_position_count,root_cause
24h,shadow-pos-7f17b03d5f6152b6f693864d,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:aerodrome-slipstream:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1779577685,1779621140,724,200.0,201.31004733477474,0.6550236673873694,terminal_exit_mark,"closed after 724m; final pnl +1.3100 USD (fees +1.3166, il -0.0066, price +1.6340%)",shadow_close,62.6024702968391,62.6024702968391,62.6024702968391,62.6024702968391,705,0,705,terminal,valid_terminal,"",3,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-fbeaeba5f113d78d37c03530,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:aerodrome-slipstream:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1779621225,1779686395,1086,200.0,201.6131303151071,0.8065651575535456,terminal_exit_mark,"closed after 1086m; final pnl +1.6131 USD (fees +1.6144, il -0.0013, price +0.7165%)",shadow_close,61.8239084674201,61.8239084674201,61.8239084674201,61.8239084674201,422,0,422,terminal,valid_terminal,"",3,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-b56917c6282e10d8858782aa,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:aerodrome-slipstream:0x4e962bb3889bf030368f56810a9c96b83cb3e778,1779344179,1779564359,3669,200.0,201.66839433723595,0.8341971686179706,terminal_exit_mark,"closed after 3669m; final pnl +1.6684 USD (fees +1.6693, il -0.0009, price -0.5990%)",shadow_close,72.415745541705,72.415745541705,72.415745541705,72.415745541705,3426,25,3426,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-ed4a00d22f941ea02c4a9abb,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779688908,1779732130,720,200.0,202.47099910842374,1.2354995542118654,terminal_exit_mark,"closed after 720m; final pnl +2.4710 USD (fees +2.4725, il -0.0015, price +0.7700%)",shadow_close,62.2607481987641,62.2607481987641,62.2607481987641,62.2607481987641,342,0,342,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-824c6f5ed8b582da1b0004a6,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:aerodrome-slipstream:0x4e962bb3889bf030368f56810a9c96b83cb3e778,1779564413,1779607791,722,200.0,202.86125473927572,1.4306273696378573,terminal_exit_mark,"closed after 722m; final pnl +2.8613 USD (fees +2.8638, il -0.0026, price +1.0178%)",shadow_close,66.9949070175927,66.9949070175927,66.9949070175927,66.9949070175927,707,0,707,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-fac1c5c8b2abd1f13184b34b,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:aerodrome-slipstream:0x4e962bb3889bf030368f56810a9c96b83cb3e778,1779686450,0,-29661440,200,203.66827396751297068917,1.834137,future_position_mark,"","",74.6590984721516,74.6590984721516,74.6590984721516,74.6590984721516,383,0,383,future,valid_future,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-f823ae9a69be0b66cb778ba8,0x4e962bb3889bf030368f56810a9c96b83cb3e778,base:aerodrome-slipstream:0x4e962bb3889bf030368f56810a9c96b83cb3e778,1779607818,1779686395,1309,200.0,205.26947305929008,2.6347365296450396,terminal_exit_mark,"closed after 1309m; final pnl +5.2695 USD (fees +5.2712, il -0.0018, price +0.8454%)",shadow_close,74.9188307249854,74.9188307249854,74.9188307249854,74.9188307249854,640,0,640,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-ec687b2aceeb808a1f6c75ac,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:aerodrome-slipstream:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1779332692,1779561708,3816,1000.0,1078.3949158518813,7.839491585188136,terminal_exit_mark,"closed after 3816m; final pnl +78.3949 USD (fees +78.4308, il -0.0359, price -1.6800%)",shadow_close,74.6575063510464,74.6575063510464,77.6582950363921,76.4356493746252,3490,3259,3490,terminal,valid_terminal,"",4,POSITION_DATA_QUALITY_FAIL
24h,"",0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779445373,,-29657422,0.0,,,invalid,"","",64.0271351260387,64.0271351260387,64.0271351260387,64.0271351260387,84,0,84,future,invalid,pool_mark_only,5,LIFECYCLE_MAPPING_BUG
24h,shadow-canary-live-pos-299da787e60301c7c2c61c0f,0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779523662,1779523767,1,4.681300999999984,,,invalid,"closed after 1m; final pnl -4.6813 USD (fees 0.0000, il -4.6813, price -4.9200%)",shadow_close,64.3818262633823,64.3818262633823,64.3818262633823,64.3818262633823,1,0,1,future,invalid,no_valid_lifecycle_outcome,5,POSITION_DATA_QUALITY_FAIL
24h,shadow-canary-live-pos-36bbaf9a2860d133daa0e42a,0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779498947,1779500534,26,4.95542233412046,,,invalid,"closed after 26m; final pnl -4.9554 USD (fees 0.0000, il -4.9554, price -0.1660%)",shadow_close,64.3818262633823,64.3818262633823,64.3818262633823,64.3818262633823,26,0,26,future,invalid,no_valid_lifecycle_outcome,5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-e342ff683ff9e03607817d1a,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,base:pancakeswap-v3-base:0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,1779641197,1779686340,752,200,192.4062146338933105323499651241361774970409954,-3.796893,future_position_mark,"","",60.7983483109059,60.7983483109059,60.7983483109059,60.7983483109059,91,0,91,future,valid_future,"",1,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-c5e8f94d64e82415136312e3,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:aerodrome-slipstream:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1779632243,1779688854,943,1000.0,974.5599918180734,-2.5440008181926563,terminal_exit_mark,"closed after 943m; final pnl -25.4400 USD (fees +3.3633, il -28.8033, price -5.6777%)",shadow_close,76.3915201648917,76.3915201648917,76.3915201648917,76.3915201648917,282,282,282,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-2b1c5c39798221de81b22bb5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:aerodrome-slipstream:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1779533423,1779577682,737,200.0,194.9560437174863,-2.5219781412568474,terminal_exit_mark,"closed after 737m; final pnl -5.0440 USD (fees +1.3727, il -6.4166, price +6.7392%)",shadow_close,60.1476644078684,60.1476644078684,60.1476644078684,60.1476644078684,314,0,314,terminal,valid_terminal,"",3,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-842896745e4337f71da620a9,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779346211,1779522662,2940,200.0,195.25810759460157,-2.370946202699221,terminal_exit_mark,"closed after 2940m; final pnl -4.7419 USD (fees +0.3838, il -5.1257, price -5.0600%)",shadow_close,62.1431613895643,62.1431613895643,62.1431613895643,62.1431613895643,2678,0,2678,terminal,valid_terminal,"",11,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-b2b74e0686d4ef35496581ed,0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779362600,1779523303,2678,200.0,195.54426040569214,-2.2278697971539247,terminal_exit_mark,"closed after 2678m; final pnl -4.4557 USD (fees +0.5263, il -4.9821, price -4.9200%)",shadow_close,63.6712808409811,63.6712808409811,63.6712808409811,63.6712808409811,2028,0,2028,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-bad539974a504c8a7456e535,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:aerodrome-slipstream:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1779561712,1779632239,1175,1000.0,999.8023193156581,-0.019768068434194604,terminal_exit_mark,"closed after 1175m; final pnl -0.1977 USD (fees +24.6220, il -24.8196, price -4.9023%)",shadow_close,76.0533018504318,76.0533018504318,76.0533018504318,76.0533018504318,1149,999,1149,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-257085443f2329f36ad3ad97,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779568808,1779576063,120,200.0,200.00006160070095,0.00003080035047585958,terminal_exit_mark,"closed after 120m; final pnl +0.0001 USD (fees +0.0001, il 0.0000, price +0.0126%)",shadow_close,70.0984322116561,70.0984322116561,70.0984322116561,70.0984322116561,121,0,121,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-7efaae8b9be88674cd389b29,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779576119,1779594904,313,200.0,200.00012899101327,0.00006449550663820503,terminal_exit_mark,"closed after 313m; final pnl +0.0001 USD (fees +0.0001, il 0.0000, price +0.0052%)",shadow_close,70.1212409497623,70.1212409497623,70.1212409497623,70.1212409497623,312,0,312,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-canary-live-pos-87fed0fef84d468c20911210,0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779504100,1779505946,30,4.803986804856903,4.803990126371387,0.00006914079116248526,terminal_exit_mark,hold: no current exit condition met,hold,64.3818262633823,64.3818262633823,64.3818262633823,64.3818262633823,1,0,1,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-68ad1af5798162ee842fb8a8,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779594960,1779783244,3138,200,200.00014266475690265088966195255,0.000071,future_position_mark,"","",70.1177584762113,70.1177584762113,70.1177584762113,70.1177584762113,1673,0,1673,future,valid_future,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-e2deacabdd6dcb7bc764a7bd,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779344120,1779568751,3743,200.0,200.00155771679766,0.0007788583988254873,terminal_exit_mark,"closed after 3743m; final pnl +0.0016 USD (fees +0.0016, il 0.0000, price -0.0010%)",shadow_close,67.9458961036126,67.9458961036126,67.9458961036126,67.9458961036126,3479,0,3479,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-87f89e33d611c5b37a05cada,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779332693,1779344062,189,200.0,200.00168934265687,0.0008446713284300948,terminal_exit_mark,"closed after 189m; final pnl +0.0017 USD (fees +0.0017, il 0.0000, price -0.0053%)",shadow_close,67.9456201674152,67.9456201674152,67.9458961036126,67.9456894447663,106,0,106,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
6h,shadow-pos-9878cd860310b5e6e2eb81b4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779610889,1779618165,121,200.0,200.01431500386275,0.007157501931379759,terminal_exit_mark,"closed after 121m; final pnl +0.0143 USD (fees +0.0147, il -0.0004, price +0.3950%)",shadow_close,62.8359790588285,62.8359790588285,62.8359790588285,62.8359790588285,118,0,118,terminal,valid_terminal,"",11,POSITION_DATA_QUALITY_FAIL
