run_id,pool_id,token_pair,fee_source_v1,fee_source_v2,confidence_v1,confidence_v2,window_label,fee_velocity_rate_15m,fee_velocity_rate_30m,fee_velocity_rate_1h,fee_velocity_rate_2h,fee_apr_proxy,entry_safe,invalid_reason,confidence_reason
20260601_103248,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,pool_score_history_fee_apr_score,pool_score_history_fee_apr_score,low,medium,recent_48h,9.474605129594353e-06,1.8949210259188706e-05,3.789842051837741e-05,7.579684103675482e-05,0.33199016374098617,yes,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,pool_score_history_fee_apr_score,pool_score_history_fee_apr_score,low,medium,recent_72h,9.474605129594353e-06,1.8949210259188706e-05,3.789842051837741e-05,7.579684103675482e-05,0.33199016374098617,yes,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,pool_score_history_fee_apr_score,entry_safe_mark_volume_x_fee_tier_proxy,low,high,recent_7d,,,,,0.3039824029414316,yes,,dense_mark_volume_before_cutoff
20260601_103248,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,,pool_score_history_fee_apr_score,,medium,recent_24h,2.2813141418353486e-06,4.562628283670697e-06,9.125256567341394e-06,1.825051313468279e-05,0.07993724752991062,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,,pool_score_history_fee_apr_score,,medium,recent_48h,2.2813141418353486e-06,4.562628283670697e-06,9.125256567341394e-06,1.825051313468279e-05,0.07993724752991062,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,,pool_score_history_fee_apr_score,,medium,recent_72h,2.2813141418353486e-06,4.562628283670697e-06,9.125256567341394e-06,1.825051313468279e-05,0.07993724752991062,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,,pool_score_history_fee_apr_score,,medium,recent_7d,2.2813141418353486e-06,4.562628283670697e-06,9.125256567341394e-06,1.825051313468279e-05,0.07993724752991062,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,,pool_score_history_fee_apr_score,,medium,recent_24h,3.0050108602062136e-06,6.010021720412427e-06,1.2020043440824854e-05,2.404008688164971e-05,0.10529558054162572,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,,pool_score_history_fee_apr_score,,medium,recent_48h,3.0050108602062136e-06,6.010021720412427e-06,1.2020043440824854e-05,2.404008688164971e-05,0.10529558054162572,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,,pool_score_history_fee_apr_score,,medium,recent_72h,3.0050108602062136e-06,6.010021720412427e-06,1.2020043440824854e-05,2.404008688164971e-05,0.10529558054162572,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,,pool_score_history_fee_apr_score,,medium,recent_7d,3.0050108602062136e-06,6.010021720412427e-06,1.2020043440824854e-05,2.404008688164971e-05,0.10529558054162572,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL/WETH,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_72h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x0ab02e160f0df68dc049b012c514857306960eae,0x11030F79109269D796FD0FB956D6244E502757F7/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,pool_score_history_fee_apr_score,,medium,recent_7d,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH/cbBTC,,pool_score_history_fee_apr_score,,medium,recent_24h,2.506738066951708e-06,5.013476133903416e-06,1.0026952267806832e-05,2.0053904535613663e-05,0.08783610186598785,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH/cbBTC,,pool_score_history_fee_apr_score,,medium,recent_48h,2.506738066951708e-06,5.013476133903416e-06,1.0026952267806832e-05,2.0053904535613663e-05,0.08783610186598785,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH/cbBTC,,pool_score_history_fee_apr_score,,medium,recent_72h,2.506738066951708e-06,5.013476133903416e-06,1.0026952267806832e-05,2.0053904535613663e-05,0.08783610186598785,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH/cbBTC,,pool_score_history_fee_apr_score,,medium,recent_7d,2.506738066951708e-06,5.013476133903416e-06,1.0026952267806832e-05,2.0053904535613663e-05,0.08783610186598785,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,,pool_score_history_fee_apr_score,,medium,recent_24h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
20260601_103248,0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/USDC,,pool_score_history_fee_apr_score,,medium,recent_48h,9.988584474885845e-06,1.997716894977169e-05,3.995433789954338e-05,7.990867579908676e-05,0.35,no,,score_history_fee_aprscore_before_cutoff
