chain,chain_id,rpc_url,protocol,factory,npm,token_a_symbol,token_b_symbol,fee_tier,pool_address,pool_exists,metadata_ready,quote_ready,tick_ready,gas_ready,discovery_confidence,invalid_reason
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDC,100,0xf2688fb5b81049dfb7703ada5e770543770612c4,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDC,500,0x81a9b5f18179ce2bf8f001b8a634db80771f1824,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDC,2500,0xc721deccd986d54b39e8c29428a1f06155c3671e,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,USDC,10000,0x18c5affa481e7edbf37405ade553827d6387899f,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,DAI,100,0xa2d86bcb4a7651e2926b2dd9a3f4d4d2ec6abd21,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,DAI,500,0x0,False,False,False,False,True,0.0,getPool_returned_zero
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,DAI,2500,0x0,False,False,False,False,True,0.0,getPool_returned_zero
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WBNB,DAI,10000,0x0,False,False,False,False,True,0.0,getPool_returned_zero
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,USDT,100,0x247f51881d1e3ae0f759afb801413a6c948ef442,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,USDT,500,0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,USDT,2500,0x6ee3ee9c3395bbd136b6076a70cb6cff241c0e24,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,USDT,10000,0x6f5f1c8856ffacddd601830e15f56a7461833e89,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,WBNB,100,0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,WBNB,500,0x6bbc40579ad1bbd243895ca0acb086bb6300d636,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,WBNB,2500,0xfc75f4e78bf71ed5066db9ca771d4ccb7c1264e0,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,BTCB,WBNB,10000,0x769fdcaa6a18495eb52fe93d19ce347dad9817bc,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,100,0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,500,0xbe141893e4c6ad9272e8c04bab7e6a10604501a5,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,2500,0x66e9acba7c3a82c8ee02faf3e325dd55d6581a8c,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,WETH,USDT,10000,0x83c38557a0576ad38def24abafa17c2c218cb9e4,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,100,0x92b7807bf19b7dddf89b706143896d05228f3121,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,500,0x4f31fa980a675570939b737ebdde0471a4be40eb,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,2500,0x5f69c87e3ed60d6b6b544c16f0072cd4a72ad13c,True,True,True,True,True,0.95,
BSC,56,https://bsc-dataseed.binance.org,PancakeSwap V3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865,0x46A15B0bda11dd51589E78B4F8b815a9D2887F5e,USDC,USDT,10000,0x418e8bf549cb4a544d033edc8bc26c3357e6efa7,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC,100,0x6f38e884725a116c9c7fbf208e79fe8828a2595f,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC,500,0xc6962004f452be9203591991d15f6b388e09e8d0,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC,3000,0xc473e2aee3441bf9240be85eb122abb059a3b57c,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC,10000,0x42fc852a750ba93d5bf772ecdc857e87a86403a9,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC.e,100,0xe754841b77c874135caca3386676e886459c2d61,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC.e,500,0xc31e54c7a869b9fcbecc14363cf510d1c41fa443,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC.e,3000,0x17c14d2c404d167802b16c450d3c99f88f2c4f4d,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDC.e,10000,0x7e5e4a3f855f19cc1a45b9eff1c8b2419036ce85,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDT,100,0x42161084d0672e1d3f26a9b53e653be2084ff19c,True,True,True,True,True,0.95,
Arbitrum,42161,https://arb1.arbitrum.io/rpc,Uniswap V3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,WETH,USDT,500,0x641c00a822e8b671738d32a431a4fb6074e5c79d,True,True,True,True,True,0.95,
