pool_id,token_pair,virtual_notional_usd,gross_fee_proxy_usd,il_lvr_proxy_usd,slippage_proxy_usd,fixed_cost_proxy_usd,exit_cost_proxy_usd,net_ev_proxy_usd,net_ev_proxy_pct,break_even_notional_usd,capacity_limit_usd,no_size_can_fix,ev_status,confidence,primary_blocker
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,1000,0.18411966537242833,0.2610072605830263,349.16486523906224,0.12,349.28486523906224,-698.646618073335,-0.6986466180733351,,6.8698962696806705,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC/WETH,2000,0.36823933074485665,0.5220145211660526,1496.902546453152,0.18,1497.082546453152,-2994.318868096725,-1.4971594340483625,,6.8698962696806705,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,20,4.767493329421817e-06,3.025245212427386e-05,0.0366984372937684,0.025,0.0616984372937684,-0.12342235954633166,-0.006171117977316583,,21.7992933485438,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,100,2.3837466647109082e-05,0.0001512622606213693,0.8740535824002941,0.04,0.9140535824002941,-1.8282345895945624,-0.018282345895945625,,21.7992933485438,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,500,0.00011918733323554542,0.0007563113031068466,25.666997379033262,0.08,25.74699737903326,-51.49463188203639,-0.10298926376407277,,21.7992933485438,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,1000,0.00023837466647109084,0.001512622606213693,110.03682661534577,0.12,110.15682661534578,-220.31492747863132,-0.22031492747863132,,21.7992933485438,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0x9a993fc0eec60faaa0c391ff11b840ce16685150,USAD/USDT,2000,0.0004767493329421817,0.003025245212427386,471.73820267213955,0.18,471.91820267213956,-943.8389538401586,-0.4719194769200793,,21.7992933485438,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,20,0.0014047906273644832,0.00031525670092732484,0.18793077706957922,0.025,0.21293077706957922,-0.4247720202127213,-0.021238601010636064,,4.256886564694031,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100,0.007023953136822416,0.001576283504636624,4.475982659044432,0.04,4.515982659044432,-9.026517648456679,-0.09026517648456679,,4.256886564694031,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500,0.035119765684112084,0.00788141752318312,131.4393505061768,0.08,131.5193505061768,-263.01146266419266,-0.5260229253283853,,4.256886564694031,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000,0.07023953136822417,0.01576283504636624,563.4928312221064,0.12,563.6128312221064,-1127.1711857478908,-1.1271711857478908,,4.256886564694031,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000,0.14047906273644833,0.03152567009273248,2415.746651333184,0.18,2415.926651333184,-4831.744349273724,-2.415872174636862,,4.256886564694031,yes,NO_SIZE_CAN_FIX,low,variable_edge_non_positive
