policy_name,window,horizon,raw_intent_rows,deduped_count,valid_lifecycle_count,invalid_count,compression_ratio,entry_valid_rate,future_mark_coverage,invalid_reason_distribution
position_reuse_session_refined,last_48h,24h,10892,52,12,40,209.46153846153845,0.38461538461538464,0.23076923076923078,"{'position_join_missing': 32, 'no_future_pool_mark': 8}"
position_reuse_session_refined,last_72h,6h,16596,84,33,51,197.57142857142858,0.44047619047619047,0.39285714285714285,"{'position_join_missing': 47, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_72h,12h,16596,84,33,51,197.57142857142858,0.44047619047619047,0.39285714285714285,"{'position_join_missing': 47, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_72h,24h,16596,84,29,55,197.57142857142858,0.44047619047619047,0.34523809523809523,"{'position_join_missing': 47, 'no_future_pool_mark': 8}"
position_reuse_session_refined,last_7d,6h,36128,225,84,141,160.5688888888889,0.39111111111111113,0.37333333333333335,"{'position_join_missing': 112, 'intended_notional_missing': 25, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_7d,12h,36128,225,84,141,160.5688888888889,0.39111111111111113,0.37333333333333335,"{'position_join_missing': 112, 'intended_notional_missing': 25, 'no_future_pool_mark': 4}"
position_reuse_session_refined,last_7d,24h,36128,225,78,147,160.5688888888889,0.39111111111111113,0.3466666666666667,"{'position_join_missing': 112, 'intended_notional_missing': 25, 'no_future_pool_mark': 10}"
hybrid_pool_time_score,last_24h,6h,5764,0,0,0,,,,{}
hybrid_pool_time_score,last_24h,12h,5764,0,0,0,,,,{}
hybrid_pool_time_score,last_24h,24h,5764,0,0,0,,,,{}
hybrid_pool_time_score,last_48h,6h,10892,0,0,0,,,,{}
hybrid_pool_time_score,last_48h,12h,10892,0,0,0,,,,{}
hybrid_pool_time_score,last_48h,24h,10892,0,0,0,,,,{}
hybrid_pool_time_score,last_72h,6h,16596,0,0,0,,,,{}
hybrid_pool_time_score,last_72h,12h,16596,0,0,0,,,,{}
hybrid_pool_time_score,last_72h,24h,16596,0,0,0,,,,{}
hybrid_pool_time_score,last_7d,6h,36128,11,7,4,3284.3636363636365,0.6363636363636364,0.6363636363636364,{'position_join_missing': 4}
hybrid_pool_time_score,last_7d,12h,36128,11,7,4,3284.3636363636365,0.6363636363636364,0.6363636363636364,{'position_join_missing': 4}
hybrid_pool_time_score,last_7d,24h,36128,11,5,6,3284.3636363636365,0.6363636363636364,0.45454545454545453,"{'position_join_missing': 4, 'no_future_pool_mark': 2}"
strict_unique_market_state,last_24h,6h,5764,0,0,0,,,,{}
strict_unique_market_state,last_24h,12h,5764,0,0,0,,,,{}
strict_unique_market_state,last_24h,24h,5764,0,0,0,,,,{}
strict_unique_market_state,last_48h,6h,10892,0,0,0,,,,{}
strict_unique_market_state,last_48h,12h,10892,0,0,0,,,,{}
strict_unique_market_state,last_48h,24h,10892,0,0,0,,,,{}
strict_unique_market_state,last_72h,6h,16596,0,0,0,,,,{}
strict_unique_market_state,last_72h,12h,16596,0,0,0,,,,{}
strict_unique_market_state,last_72h,24h,16596,0,0,0,,,,{}
strict_unique_market_state,last_7d,6h,36128,11,7,4,3284.3636363636365,0.6363636363636364,0.6363636363636364,{'position_join_missing': 4}
strict_unique_market_state,last_7d,12h,36128,11,7,4,3284.3636363636365,0.6363636363636364,0.6363636363636364,{'position_join_missing': 4}
strict_unique_market_state,last_7d,24h,36128,11,5,6,3284.3636363636365,0.6363636363636364,0.45454545454545453,"{'position_join_missing': 4, 'no_future_pool_mark': 2}"
