pool_id,token_pair,exit_depth_usd,slippage_10usd,slippage_20usd,slippage_50usd,buyers_24h,sellers_24h,unique_traders_24h,top1_trader_share,top5_trader_share,top10_holder_pct,price_move_5m,price_move_15m,price_move_30m,tvl_change_1h,volume_change_1h,data_quality_status
0xaf15cd1f9c3874bbcfddfc2b544544612c9de8c8bae28ba21c129c6b286c1e19,ETH / USDC 0.009%,7259.68,0.000689,0.001377,0.003444,1359,1325,,,,24.9,-0.007,-0.081,-0.124,,,partial
0x7c7420dd105e2779316423ba3e973f434315efa9,cbBTC / WETH 0.009%,4374.87,0.001143,0.002286,0.005714,969,935,,,,89.86,-0.026,-0.044,-0.019,,,partial
0x31d7860963a8f9c3138a2fd84aa769b3119f17b38f1fc21b329a47fab2856dbd,SAOS / WETH 0.01%,2313.59,0.002161,0.004322,0.010806,2243,1992,,,,54.38,-0.035,-8.394,-5.501,,,partial
0x25424bf60fbb8b43bdf2efee7bb9b89b1ff991f0256f8e1e5206fd23cd6fe2db,ETH / cbBTC 0.005%,2604.14,0.00192,0.00384,0.0096,1387,1589,,,,89.86,-0.007,-0.085,-0.124,,,partial
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL / WETH 0.05%,10127.36,0.000494,0.000987,0.002469,1228,1200,278,28.11,63.1,54.38,-0.161,-0.133,0.002,-0.0,-0.532112,acceptable
0x5ec8fd9b09454e7e2662a2c4c0432f95e896ea79,VCNT / WETH 0.3%,1310.69,0.003815,0.00763,0.019074,102,114,,,,76.24,0.595,0.615,0.567,,,partial
0x9d14ff91ae2c6e3d1a760542248b6c7f206894b0,cbBTC / USDC 0.021%,6772.16,0.000738,0.001477,0.003692,616,520,,,,89.86,0.258,0.241,0.244,,,partial
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,WETH / cbBTC 0.05%,31368.74,0.000159,0.000319,0.000797,899,1127,,,,89.86,-0.083,-0.009,-0.163,-1.2e-05,-0.31601,partial
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,WETH / USDC 0.05%,104262.36,4.8e-05,9.6e-05,0.00024,424,573,,,,54.38,0.0,-0.087,-0.078,,,partial
0x8fe985a6a484e89af85189f7efc20de0183d0c3415bf2a9ceefa5a7d1af879e5,ETH / cbBTC 0.009%,3809.11,0.001313,0.002625,0.006563,691,808,,,,89.86,-0.007,-0.081,-0.124,,,partial
0x13a34cd910c51814c518a0f38331118259330696a6dd6aaddd92eea786d31eee,SAOS / WETH 0.01%,539.66,0.009265,0.01853,0.046325,1009,985,,,,54.38,-7.102,-3.388,16.91,,,partial
0x2055cfc1624411a84b544ac3c68886810397c511888e31de60695b416a8a492e,Brain / WETH 0.01%,1998.94,0.002501,0.005003,0.012507,1734,1608,,,,54.38,0.0,0.0,0.0,,,partial
0xedc625b74537ee3a10874f53d170e9c17a906b9c,ZORA / USDC 0.3%,3210.97,0.001557,0.003114,0.007786,613,250,,,,24.9,0.043,0.065,-0.196,,,partial
0xca0ce175bbcb04b2e9f8789a73ff0c94185434ac32ee33ab11fde41ddeafa497,Brain / WETH,3034.39,0.001648,0.003296,0.008239,728,860,,,,54.38,1.965,0.992,24.811,,,partial
0xdeaaeaf48f3b02df130b6e1035c4740158ed9a8ece951edd7a2ac19d80742072,SAOS / WETH 0.01%,1780.61,0.002808,0.005616,0.01404,1180,1028,,,,54.38,-5.612,-5.362,-10.501,,,partial
0xf13203ddbf2c9816a79b656a1a952521702715d92fea465b84ae2ed6e94a7f22,USDT / USDC,50011.76,0.0001,0.0002,0.0005,696,888,,,,24.9,-0.009,-0.062,-0.082,,,partial
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,AERO / WETH 0.05%,4030.73,0.00124,0.002481,0.006202,812,586,,,,68.0,0.053,-0.017,0.114,-7e-06,,partial
0x4676505f75ef3cf95cf30d6e56134e39fe1f4c325ed29e52a5e28e350bee268c,BASEMATE / WETH,5120.97,0.000976,0.001953,0.004882,605,807,,,,54.38,5.169,6.194,10.668,,,partial
0xaec085e5a5ce8d96a7bdd3eb3a62445d4f6ce703,BNKR / WETH 1%,57145.09,8.7e-05,0.000175,0.000437,221,249,,,,54.38,0.029,1.799,1.81,,,partial
0xcbdc5128889aa8477cb9267d735029bc02087aeef3dd3c3e0be458bce741c6c0,QUILL / ETH 1.025%,9476.05,0.000528,0.001055,0.002638,343,351,,,,,0.689,7.896,7.017,,,partial
0x3e97c5ec8c73e7d566aca606472141a9b9a8c1fa,DEUS / VIRTUAL,24255.9,0.000206,0.000412,0.001031,294,315,,,,46.4,-0.428,-1.208,-3.201,,,partial
0xacd168b06cfb4ed3a7701d64752e7667f1e6063e05144cec1883b5b5fd91633a,PITCH / ETH 1%,30893.7,0.000162,0.000324,0.000809,889,655,,,,,0.694,-1.489,-2.432,,,partial
0x85f1aa3a70fedd1c52705c15baed143e675cd626,NOCK / USDC,29051.62,0.000172,0.000344,0.000861,517,470,,,,24.9,0.324,1.388,3.539,,,partial
0x6aa4525e601f65f498a3b06cdc3c144bfeba76045f99557fe17369047e337d72,HALO / WETH,4759.64,0.00105,0.002101,0.005252,378,353,,,,54.38,-2.278,3.146,-4.174,,,partial
0x22c8e4b5a5d2361b32ab8c6c7937644856708995,NSEC / WETH,1237.15,0.004042,0.008083,0.020208,183,152,,,,54.38,-2.174,-3.607,-3.607,,,partial
0x1dcfc51e30b05a523c806ed835202fdff2f29167f734189ab7a4ae0664e440b2,THESIS / WETH,2274.89,0.002198,0.004396,0.01099,167,244,,,,54.38,-0.963,-4.846,-9.751,,,partial
0x91a06c8f90cc4a21f47d20ff6b81ddef508fe483f1b11e02457836b2467e1351,rootai / WETH,5689.9,0.000879,0.001758,0.004394,394,438,,,,54.38,-0.104,-4.63,-2.332,,,partial
0x7016371c9642e346094b51b9603e429828d3f8063537770020115af81b019145,SUPERGEMMA / WETH,9780.6,0.000511,0.001022,0.002556,406,537,,,,54.38,1.87,-2.397,-5.323,,,partial
0x4f13908968a7acef4738bf5f306fd269dcc1c94a80e7e084bbd41e5055ab31c4,Katch / WETH,4095.94,0.001221,0.002441,0.006104,500,706,,,,54.38,0.619,2.356,5.417,,,partial
0xf6ca0d69c0a93d4dea32af5f1f2115bd5fe4f14cdba6ec35ca45bd8d29d947d1,MYTHOS / WETH,4438.07,0.001127,0.002253,0.005633,202,263,,,,54.38,-0.033,10.727,9.148,,,partial
0x3edda68feaec4ca870ec5ebacdd50f92af6ad747828a8b4a287f692ca4ea7b3c,WAKE / WETH,5341.67,0.000936,0.001872,0.00468,186,268,,,,54.38,0.0,0.0,2.739,,,partial
0x7a97e4a45f5ae858ba5e96fb1e279dce4aa6751caf844a2bf6c7f7ea520e34f4,Tessera / WETH 1%,1551.63,0.003222,0.006445,0.016112,173,171,,,,54.38,0.0,0.0,2.047,,,partial
0x5d0bc342178c8fe2c2f9a9fcc9d52555c99936db,USDC/USDbC,3332.64,0.0015,0.003001,0.007502,,,,,,24.9,,,,,,partial
0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL/USDC,8009.05,0.000624,0.001249,0.003121,,,,,,24.9,-0.02,,,,,partial
0x659be70647b0f63217d60e077f4417b1ecc65064,FUN/USDC,11201.38,0.000446,0.000893,0.002232,,,103,42.65,87.25,81.84,-0.836,-0.708,0.172,-2e-06,0.535021,acceptable
0xb775272e537cc670c65dc852908ad47015244eaf,WETH/USDC,38475.71,0.00013,0.00026,0.00065,,,,,,54.38,,,,,,partial
0x5a9ad2bb92b0b3e5c571fdd5125114e04e02be1a,WETH/USDC,6815.97,0.000734,0.001467,0.003668,,,,,,54.38,,,,,,partial
0x57713f7716e0b0f65ec116912f834e49805480d2,WETH/USDC,2873.29,0.00174,0.00348,0.008701,,,,,,54.38,,,,,,partial
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,cbBTC/USDC,225086.88,2.2e-05,4.4e-05,0.000111,,,,,,89.86,,,,,,partial
0x22aee3699b6a0fed71490c103bd4e5f3309891d5,cbBTC/WETH,3742.02,0.001336,0.002672,0.006681,,,,,,89.86,-0.02,,,,,partial
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,cbBTC/USDC,75851.49,6.6e-05,0.000132,0.00033,,,,,,89.86,,,,,,partial
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,cbBTC/USDC,75260.08,6.6e-05,0.000133,0.000332,,,,,,89.86,,,,,,partial
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,cbBTC/WETH,68746.14,7.3e-05,0.000145,0.000364,,,,,,89.86,-0.04,,,,,partial
0x4ca59b56965385e14b3fd4d48cd1741dc21e7343,cbBTC/USDC,2971.2,0.001683,0.003366,0.008414,,,,,,89.86,,,,,,partial
0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,cbBTC/USDC,3490.71,0.001432,0.002865,0.007162,,,,,,89.86,,,,,,partial
0xd974d59e30054cf1abeded0c9947b0d8baf90029,cbBTC/WETH,13812.97,0.000362,0.000724,0.00181,,,,,,89.86,,,,,,partial
0xa4fdd479eda160671636e2ecf8f993cbf86258a8,AERO/USDC,9667.59,0.000517,0.001034,0.002586,,,,,,68.0,0.2,,,,,partial
0x82321f3beb69f503380d6b233857d5c43562e2d0,AERO/WETH,17215.04,0.00029,0.000581,0.001452,,,,,,68.0,0.18,,,,,partial
0xe5b5f522e98b5a2baae212d4da66b865b781db97,AERO/USDC,3062.83,0.001632,0.003265,0.008162,,,,,,68.0,0.21,,,,,partial
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,13370.48,0.000374,0.000748,0.00187,,,,,,89.86,0.07,,,,,partial
0x4e506648d493c8870f55e870480f92f2f33ece51,AERO/WETH,25303.72,0.000198,0.000395,0.000988,,,,,,68.0,0.07,,,,,partial
