pool_id,token_pair,protocol,source,seen_in_scanner,seen_in_shadow_trace,seen_in_position_marks,fee_bps,tvl_usd,vol24h_usd,volume_to_tvl,estimated_fee_apr,existing_tier_if_available,previously_hard_rejected
0xacd168b06cfb4ed3a7701d64752e7667f1e6063e05144cec1883b5b5fd91633a,PITCH / ETH 1%,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,1544684.9214,2825564.9015,1.829218,,,no
0xfc971cb1c9327d6a6f84b4a6fceaff20d7a7719fa1564f1bed47198716dbec7d,OpenJarvis / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,61647.3655,2768791.0423,44.913372,,,no
0x85f1aa3a70fedd1c52705c15baed143e675cd626,NOCK / USDC,aerodrome-base,dexscreener_token_usdc;geckoterminal_trending_pools,no,no,no,,1452581.2415,2626890.0115,1.808429,,,no
0x9520e1a3bfd86da6c1e9e5ee4b9c2f11c413358f,VIRTUAL / WETH,aerodrome-slipstream-3,geckoterminal_pools,no,no,no,,94042.4576,2187400.991,23.259717,,,no
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,USDC / cbBTC 0.05%,hydrex-integral,dexscreener_token_cbbtc;geckoterminal_pools,no,no,no,,498677.8362,2064618.5195,4.140185,,,no
0xf13203ddbf2c9816a79b656a1a952521702715d92fea465b84ae2ed6e94a7f22,USDT / USDC,uniswap-v4-base,geckoterminal_pools,no,no,no,,2500587.9505,2055161.5337,0.821871,,,no
0x4e506648d493c8870f55e870480f92f2f33ece51,AERO/WETH,aerodrome,dexscreener_token_aero,no,no,no,,1265186.01,1832514.84,1.448415,,,no
0x29183f918920a2aef0115a9c7374945589968aea,SOSO / USDC 0.01%,uniswap-v3-base,geckoterminal_pools,no,no,no,,301989.1205,1787810.2046,5.920115,,,no
0x25424bf60fbb8b43bdf2efee7bb9b89b1ff991f0256f8e1e5206fd23cd6fe2db,ETH / cbBTC 0.005%,pancakeswap-infinity-clmm-base,geckoterminal_pools,no,no,no,,130207.007,1748432.2504,13.428096,,,no
0xaec085e5a5ce8d96a7bdd3eb3a62445d4f6ce703,BNKR / WETH 1%,uniswap-v3-base,geckoterminal_trending_pools,no,no,no,,2857254.7086,1700730.4761,0.595232,,,no
0x13a34cd910c51814c518a0f38331118259330696a6dd6aaddd92eea786d31eee,SAOS / WETH 0.01%,uniswap-v4-base,geckoterminal_pools,no,no,no,,26982.8637,1689535.1252,62.615115,,,no
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,VIRTUAL / WETH 0.05%,uniswap-v3-base,geckoterminal_pools,no,no,no,,506367.7699,1643093.4825,3.244862,,,no
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,aerodrome,dexscreener_token_aero,no,no,no,,668524.14,1564004.73,2.339489,,,no
0xca0ce175bbcb04b2e9f8789a73ff0c94185434ac32ee33ab11fde41ddeafa497,Brain / WETH,uniswap-v4-base,geckoterminal_pools;geckoterminal_trending_pools,no,no,no,,151719.2765,1419321.381,9.354918,,,no
0x4f13908968a7acef4738bf5f306fd269dcc1c94a80e7e084bbd41e5055ab31c4,Katch / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,204797.1009,1296712.9821,6.331696,,,no
0xdbc6998296caa1652a810dc8d3baf4a8294330f1,WETH / USDC 0.01%,aerodrome-slipstream,dexscreener_token_weth;geckoterminal_pools,no,no,no,,161337.004,1099646.6774,6.815837,,,no
0x1674ad20f7740e1bc0d21efa6425136971478cb4,ALLO / USDT 0.05%,aerodrome-slipstream-2,geckoterminal_pools,no,no,no,,211614.8235,1075050.9042,5.080225,,,no
0xcbdc5128889aa8477cb9267d735029bc02087aeef3dd3c3e0be458bce741c6c0,QUILL / ETH 1.025%,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,473802.467,789700.4519,1.666729,,,no
0x3e97c5ec8c73e7d566aca606472141a9b9a8c1fa,DEUS / VIRTUAL,aerodrome-base,geckoterminal_trending_pools,no,no,no,,1212794.8664,709529.0483,0.585036,,,no
0x7016371c9642e346094b51b9603e429828d3f8063537770020115af81b019145,SUPERGEMMA / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,489029.7931,692513.8463,1.416097,,,no
0x4676505f75ef3cf95cf30d6e56134e39fe1f4c325ed29e52a5e28e350bee268c,BASEMATE / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,256048.4967,672106.5992,2.624919,,,no
0x253b86118992ef0feb43a846e9a5a50abdd8b271ca4d5c7295d55f18041b888c,PROS / ETH 0.05%,uniswap-v4-base,geckoterminal_pools,no,no,no,,28699.2663,615115.6365,21.433149,,,no
0x263dd54f58cedff35c85a98a61fda06f3bba55a567de33fe9f884d851652e37a,ETH / VIRTUAL 0.045%,uniswap-v4-base,geckoterminal_pools,no,no,no,,62702.293,561192.9614,8.950119,,,no
0x82321f3beb69f503380d6b233857d5c43562e2d0,AERO/WETH,aerodrome,dexscreener_token_aero,no,no,no,,860752.23,549764.51,0.638702,,,no
0xf6e81e5d16a7274d273905e0068f9f607b840c20bec23b2e442976ee03b29d91,ETH / USDC 0.005%,pancakeswap-infinity-clmm-base,geckoterminal_pools,no,no,no,,29483.3477,526584.4747,17.860403,,,no
0x659be70647b0f63217d60e077f4417b1ecc65064,FUN/USDC,aerodrome,dexscreener_token_usdc,no,no,no,,560068.91,522399.06,0.932741,,,no
0x6aa4525e601f65f498a3b06cdc3c144bfeba76045f99557fe17369047e337d72,HALO / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,237982.0956,466042.5305,1.958309,,,no
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,VCNT / USDC 0.3%,uniswap-v3-base,geckoterminal_pools,no,no,no,,256220.9381,457358.4452,1.785016,,,no
0xaf15cd1f9c3874bbcfddfc2b544544612c9de8c8bae28ba21c129c6b286c1e19,ETH / USDC 0.009%,uniswap-v4-base,geckoterminal_pools,no,no,no,,362983.8771,417916.6044,1.151337,,,no
0xd974d59e30054cf1abeded0c9947b0d8baf90029,cbBTC/WETH,pancakeswap,dexscreener_token_cbbtc,no,no,no,,690648.36,379606.19,0.549637,,,no
0x22aee3699b6a0fed71490c103bd4e5f3309891d5,cbBTC/WETH,aerodrome,dexscreener_token_cbbtc,no,no,no,,187100.87,363963.4,1.945279,,,no
0xa4fdd479eda160671636e2ecf8f993cbf86258a8,AERO/USDC,aerodrome,dexscreener_token_aero,no,no,no,,483379.53,334776.46,0.692575,,,no
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,AERO / WETH 0.05%,pancakeswap-v3-base,dexscreener_token_aero;geckoterminal_pools,no,no,no,,201536.651,303098.9564,1.50394,,,no
0x5ec8fd9b09454e7e2662a2c4c0432f95e896ea79,VCNT / WETH 0.3%,uniswap-v3-base,geckoterminal_pools,no,no,no,,65534.7288,280737.097,4.283791,,,no
0x5a9ad2bb92b0b3e5c571fdd5125114e04e02be1a,WETH/USDC,quickswap,dexscreener_token_weth,no,no,no,,340798.45,243895.14,0.715658,,,no
0x91a06c8f90cc4a21f47d20ff6b81ddef508fe483f1b11e02457836b2467e1351,rootai / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,284494.8502,234139.0386,0.822999,,,no
0x5d0bc342178c8fe2c2f9a9fcc9d52555c99936db,USDC/USDbC,quickswap,dexscreener_token_usdc,no,no,no,,166632.11,186649.27,1.120128,,,no
0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,cbBTC/USDC,pancakeswap,dexscreener_token_cbbtc,no,no,no,,174535.38,184989.18,1.059895,,,no
0x3edda68feaec4ca870ec5ebacdd50f92af6ad747828a8b4a287f692ca4ea7b3c,WAKE / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,267083.5619,182156.2354,0.68202,,,no
0x4ca59b56965385e14b3fd4d48cd1741dc21e7343,cbBTC/USDC,alien-base,dexscreener_token_cbbtc,no,no,no,,148560.25,171083.99,1.151614,,,no
0x22c8e4b5a5d2361b32ab8c6c7937644856708995,NSEC / WETH,uniswap-v2-base,geckoterminal_trending_pools,no,no,no,,61857.6113,163457.215,2.642475,,,no
0xedc625b74537ee3a10874f53d170e9c17a906b9c,ZORA / USDC 0.3%,uniswap-v3-base,geckoterminal_pools,no,no,no,,160548.3213,161493.9805,1.00589,,,no
0x1dcfc51e30b05a523c806ed835202fdff2f29167f734189ab7a4ae0664e440b2,THESIS / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,113744.5382,127550.6257,1.121378,,,no
0xf6ca0d69c0a93d4dea32af5f1f2115bd5fe4f14cdba6ec35ca45bd8d29d947d1,MYTHOS / WETH,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,221903.3652,123190.7991,0.555155,,,no
0xe5b5f522e98b5a2baae212d4da66b865b781db97,AERO/USDC,uniswap,dexscreener_token_aero,no,no,no,,153141.38,117404.24,0.76664,,,no
0x57713f7716e0b0f65ec116912f834e49805480d2,WETH/USDC,sushiswap,dexscreener_token_weth,no,no,no,,143664.58,114961.6,0.800208,,,no
0x7a97e4a45f5ae858ba5e96fb1e279dce4aa6751caf844a2bf6c7f7ea520e34f4,Tessera / WETH 1%,uniswap-v4-base,geckoterminal_trending_pools,no,no,no,,77581.476,104996.3371,1.353369,,,no
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,aerodrome-slipstream-3,geckoterminal_pools;store_snapshot_cached_pools,yes,no,no,25.0,1038067.8919,3291265.4738,3.170569,2.893144,reject,yes
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,uniswap-v3-base,store_snapshot_cached_pools,yes,no,no,30.0,964974.2994,2987175.8228,3.095601,3.389684,watch,yes
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,hydrex-integral,dexscreener_token_weth;geckoterminal_pools;store_snapshot_cached_pools,yes,no,no,5.0,417748.0288,2878695.7223,6.890986,1.257605,watch,yes
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,pancakeswap-v3-base,dexscreener_token_usdc;geckoterminal_pools;store_snapshot_cached_pools,yes,no,no,5.0,263618.9936,1212985.2847,4.601282,0.839734,canary_allowed,yes
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap-v3-base,store_snapshot_cached_pools,yes,no,no,30.0,29361.9543,444329.2318,15.132822,16.57044,watch,yes
0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,0x832B55B0FA6397CA9E63B8C15DADEF3F6E44614C/0x0000000000000000000000000000000000000000,uniswap-v4-base,geckoterminal_pools;store_snapshot_cached_pools,yes,no,no,1.0,35680.8125,269994.8268,7.566947,0.276194,reject,yes
