pool,block,tx,amount0_raw,amount0_human,amount1_raw,amount1_human,sqrtPriceX96,liquidity,tick,fee_zto,fee_otz,abi
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222996,0x818a4058295097830a5c9fe3b8a916497deb1040045a6c5de2adf0069d3ae685,2296060826334765312,2.296061,-3837240048,-3837.2400,3238936747563966832465930,2568319092491837726,115792089237316195423570985008687907853269984665640564039457584007913112660613,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222998,0xf0ffd0a37f761206549c2156ae0d19b04e2d62286d4b1b8435da5eabcf6ace2e,-35223543977072071,-0.035224,58871521,58.8715,3238939555969774998587139,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660613,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223001,0xb152c2ee494a47172accccdf7233e7c5ef030bf65f9ecb7363716ef4b8c5a9d3,1433180877596435456,1.433181,-2395033316,-2395.0333,3238865673371080262901743,2568319092489441563,115792089237316195423570985008687907853269984665640564039457584007913112660612,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223001,0x92e633ba80db08006ba4bcfc146ac4123c6e1849e137b1f9ae440e875d7b3d52,-24806950675059188,-0.024807,41480301,41.4803,3238867651164939657576864,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660612,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223002,0xb87da9e042ef53c2cef425afd3e4c8b5fcb1c4a3aa8af59bc46befcf3a587a34,1234167161117856768,1.234167,-2062370241,-2062.3702,3238804030641636535870940,2568319092491086229,115792089237316195423570985008687907853269984665640564039457584007913112660612,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223002,0x0832d971c7ac82c9cad852641cbe4565330a03c6497b0ff646b22e23982b4923,1673814926960128500,1.673815,-2796919605,-2796.9196,3238717750552180921290186,2568319092491086229,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223002,0xb556b5c38cba09816033a62a5cc3dd42d2fd05ee0134dd8ff94cc53a84a63c57,-15216059298732481,-0.015216,25440145,25.4401,3238718534920305502406134,2568319092491086229,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223004,0x05966650e7edb350c21baa540ef3583c0df86e70e7ec9765de0576b094e5beb4,-87772184376341224,-0.087772,146749061,146.7491,3238725532144043952187616,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223005,0xf582309b388f5fb7cd327a7a219d43ab9fc5ed4f30e3adfb25d87d80d83ed165,-34066433380463978,-0.034066,56956907,56.9569,3238728247938038464802645,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223006,0xce38e28fcd53531cbca0931503b389660c9fe4060374b8af0f669665abf6dab2,-505292602615573,-0.000505,844421,0.8444,3238728273985379614060095,2568319092487352852,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223007,0x368ed29d9eac2c2c89fc49634fdb553b527c3fa8ae10a4af515106db1965979a,-83955124669629854,-0.083955,140301951,140.3020,3238732601796042041899101,2568319092490215140,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223009,0x76c983171807a0238ddbe9c521cd270e1c9070ced44b3d919b86e5a602b1b0f8,2148569418769639680,2.148569,-3590041751,-3590.0418,3238621855272310162512500,2568319092489392591,115792089237316195423570985008687907853269984665640564039457584007913112660611,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223010,0xd19ab3b764150583ed615400d9a73075f86b88b15c92cb0623bf2dbac2f01be4,2079619641384476672,2.079620,-3474599842,-3474.5998,3238514669930041515068193,2568319092489464027,115792089237316195423570985008687907853269984665640564039457584007913112660610,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223010,0x040ffc34eb9e8e1468d83f208f050557539e639958e168ddca53c040e700a2a8,-34839310277781261,-0.034839,58238476,58.2385,3238516465626651414381396,2568319092489464027,115792089237316195423570985008687907853269984665640564039457584007913112660610,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223012,0x4a2a5192c2250ab5129b8fbaffb44e6bd5fc903f5c5d2cf44bc19c00402c5b0a,-87276844735784267,-0.087277,145834099,145.8341,3238523422493502393658404,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660610,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223016,0xd9d30fded9eaca06c035d1e24a0b06c0aa9ef6b61b2fc684dab4cf53223be22d,1100657777402666880,1.100658,-1838863113,-1838.8631,3238435696141319960566419,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660609,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223017,0x5e6fcbad69b795fa1f647a4b69e6a6b166d7524c90ec0dcb762b9268f920b50e,939728415152389376,0.939728,-1569933274,-1569.9333,3238387266439210886367171,2568319092483362747,115792089237316195423570985008687907853269984665640564039457584007913112660609,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223018,0xa3a42104b844c98c18d805f4a1c751112d766c0c14e559dbfad75c40d22e1d42,-90078808234680388,-0.090079,150504004,150.5040,3238394446079124399354754,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660609,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223019,0xebbd9284df316042d3efe86f22748d4ceb7b91abb26fc7b808899f29481bd748,1284417781335471872,1.284418,-2145689358,-2145.6894,3238292082015721213174586,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660609,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223020,0x90419904822f195a0d20970b183ff163b06e4f079d46dfa11af1c3cc40dbdec1,-32003694906241666,-0.032004,53468672,53.4687,3238294632684122271672650,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660609,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223021,0x2e80abb617f437adc6c969b3f14a9e7b8692899ff11874ae11052233375b8faf,350023470884202560,0.350023,-584710536,-584.7105,3238266737990872080427287,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223022,0x769472b6fce587d83eee24e4f36424d7cc0ad9e5d1682b5b604eb57ff5a7bedc,-93404592455146712,-0.093405,156049132,156.0491,3238274182155492833218551,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223026,0x81875c6b295fce483ab87d703caf6bbf0d38747386db4da1c1597c51ee231ba8,789272921619290170,0.789273,-1318450281,-1318.4503,3238233510264877189431395,2568319092483712335,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223027,0xee002c03089d9afa7ffafe39425c7bd1d6a0e190600534de64c29f9c6515f35a,616007264548073798,0.616007,-1028988093,-1028.9881,3238184420492378250412109,1660729552185814470,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223028,0xa71b5578d579e6092ceeefa3c0366a5bc7dd591de8cd722e073bb887c8536344,-29929519774868317,-0.029930,50000000,50.0000,3238185962812587926298280,2568319092478274548,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223035,0x967eb87e99dce76320fd850ed81be1c068126c75c4186442df32987e9592495c,395004367711979264,0.395004,-659808018,-659.8080,3238166171956778948251932,2641390419779929363,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223041,0x0a3f4de3189a1e5ee5dc450727fc748ec108e51782be6f908f70cfd0af0389b1,-290863349749829904,-0.290863,485910306,485.9103,3238180745899298890022239,2641390326699299869,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223042,0x1943ef184f422c0c9bc063eb7c6b3949eeadc2670934f04d04162e826e825112,-304926081745030059,-0.304926,509407912,509.4079,3238196024606785712584334,2641390396668538610,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223043,0x776eab694fb7b51978bfe50733a4940fa6229b11e29eecba42f5123bbdd26edf,-1348179621975410558,-1.348180,2252319413,2252.3194,3238263578580420255038337,2641390461479443909,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223044,0x6144a415aa3e87ab7740a84100b9f42163e2c202049146440d207a8eaca7e7db,-2724565502989039792,-2.724566,4552048128,4552.0481,3238400108468856684235064,2641390643136881290,115792089237316195423570985008687907853269984665640564039457584007913112660609,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47223045,0xd95b51641b8ecfeabd6a995ed0a365eb2bdcc02393bc47f42552888ac86f181f,-2831454703969824039,-2.831455,4731039232,4731.0392,3238542006857938144452839,2641390488056860954,115792089237316195423570985008687907853269984665640564039457584007913112660610,,,v3_standard
