run_id,pool_id,token_pair,chain,cost_scenario,virtual_notional_usd,quote_method,gas_price_wei,eth_usd,quote_gas_estimate,swap_gas_units,mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,entry_swap_cost_usd,exit_swap_cost_usd,lp_add_fixed_cost_usd,lp_remove_fixed_cost_usd,collect_fixed_cost_usd,total_fixed_cost_usd,proportional_slippage_cost_usd,total_cost_usd,confidence,future_probe_only_fields,invalid_reason,read_only_safe,wallet_or_tx_touched,created_at
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,realistic_mid,500.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,14472361,14472361,220000,280000,190000,95000,0.17202918664820838,0.17202918664820838,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,499.9990516858899,500.35362982373505,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,conservative_high,500.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,14472361,14472361,280000,340000,240000,130000,0.20643502397785005,0.20643502397785005,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,624.9988146073624,625.4274464720318,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,diagnostic_low,1000.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,15118527,15118527,180000,220000,150000,70000,0.152753494585965,0.152753494585965,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,799.9984914364513,800.311222591617,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,realistic_mid,1000.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,15118527,15118527,220000,280000,190000,95000,0.17970999363054704,0.17970999363054704,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,999.998114295564,1000.3680540473738,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,conservative_high,1000.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,15118527,15118527,280000,340000,240000,130000,0.21565199235665647,0.21565199235665647,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,1249.9976428694551,1250.4447086708822,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,diagnostic_low,2000.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,15765213,15765213,180000,220000,150000,70000,0.1592874344598574,0.1592874344598574,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,1599.9970175123321,1600.3228165472456,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,realistic_mid,2000.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,15765213,15765213,220000,280000,190000,95000,0.18739698171747934,0.18739698171747934,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,1999.996271890415,2000.3815856183987,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC/USDC,base,conservative_high,2000.0,quoter_v2_staticcall,7200000.0,1981.1232671735268,15765213,15765213,280000,340000,240000,130000,0.2248763780609752,0.2248763780609752,0.009770899953699834,0.0041365853818583235,0.001854331378074421,0.015761816713632578,2499.9953398630187,2500.4608544358543,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,diagnostic_low,20.0,quoter_v2_staticcall,5100000.0,1981.1232671735268,24580991,24580991,180000,220000,150000,70000,0.24835966332144355,0.24835966332144355,0.004496159254850318,0.002020745732516997,0.000707261006380949,0.007224165993748264,15.999969500574137,16.503912993210772,low,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
20260601_141103,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,base,realistic_mid,20.0,quoter_v2_staticcall,6000000.0,1981.1232671735268,24580991,24580991,220000,280000,190000,95000,0.29218783920169833,0.29218783920169833,0.006537706781672638,0.0028528175047298782,0.00112924026228891,0.010519764548691427,19.99996187571767,20.594857318669757,medium,"mint_gas_units,increase_liquidity_gas_units,decrease_liquidity_gas_units,collect_gas_units,approval_cost",,True,False,1780323337
