run_id,pool_id,token_pair,inferred_tier,chain,pool_type,method,quote_side,virtual_notional_usd,feature_cutoff_time,entry_safe,reserve_liquidity_usd,tvl_proxy_usd,estimated_output_usd,estimated_slippage_pct,estimated_price_impact_pct,exit_depth_available,exit_depth_usd,capacity_pass,capacity_limit_usd,confidence,confidence_reason,invalid_reason,monotonicity_check
20260601_091739,0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780037347,no,2963421.4008,2963421.4008,1910.1365559874548,4.493172200627258,3.2350839844516264,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780108779,no,913376.8488,913376.8488,19.99433,0.02835,0.020412,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780108779,no,913376.8488,913376.8488,99.83349776481727,0.16650223518272672,0.11988160933156322,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780108779,no,913376.8488,913376.8488,495.1105830121968,0.9778833975606364,0.7040760462436582,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780108779,no,913376.8488,913376.8488,979.0386105007937,2.0961389499206353,1.5092200439428574,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x8a8e4170c09074b109352190d47e54d7c1f61e4e,0x8B7DDE054BE9D180C1BE7FAE0874697374A49832/USDC,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780108779,no,913376.8488,913376.8488,1910.1365559874548,4.493172200627258,3.2350839844516264,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1780036840,no,2463168.8971,2463168.8971,19.99433,0.02835,0.020412,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1780036840,no,2463168.8971,2463168.8971,99.83349776481727,0.16650223518272672,0.11988160933156322,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1780036840,no,2463168.8971,2463168.8971,495.1105830121968,0.9778833975606364,0.7040760462436582,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1780036840,no,2463168.8971,2463168.8971,979.0386105007937,2.0961389499206353,1.5092200439428574,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0x42d4a22cad0f5a49681a5715ce994af73a43b76b,0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF/0x4200000000000000000000000000000000000006,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1780036840,no,2463168.8971,2463168.8971,1910.1365559874548,4.493172200627258,3.2350839844516264,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1779695140,no,3843633.0204,3843633.0204,19.99433,0.02835,0.020412,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;entry_size_within_high_confidence_band,,pass
20260601_091739,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1779695140,no,3843633.0204,3843633.0204,99.83349776481727,0.16650223518272672,0.11988160933156322,yes,958.2163360413842,yes,958.2163360413842,high,tick_or_liquidity_missing_used_conservative_proxy;100usd_supported_with_buffer,,pass
20260601_091739,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1779695140,no,3843633.0204,3843633.0204,495.1105830121968,0.9778833975606364,0.7040760462436582,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;500usd_not_broadly_supported,,pass
20260601_091739,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,1000,1779695140,no,3843633.0204,3843633.0204,979.0386105007937,2.0961389499206353,1.5092200439428574,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,0xACFE6019ED1A7DC6F7B508C02D1B04EC88CC21BF/WETH,C,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,2000,1779695140,no,3843633.0204,3843633.0204,1910.1365559874548,4.493172200627258,3.2350839844516264,yes,958.2163360413842,no,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;large_notional_research_only,,pass
20260601_091739,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,20,1779820060,no,1031800.7025,1031800.7025,19.99433,0.02835,0.020412,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,100,1779820060,no,1031800.7025,1031800.7025,99.83349776481727,0.16650223518272672,0.11988160933156322,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
20260601_091739,0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,0xFDE4C96C8593536E31F229EA8F37B2ADA2699BB2/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,B,base,concentrated_liquidity,v3_conservative_liquidity_proxy,exit,500,1779820060,no,1031800.7025,1031800.7025,495.1105830121968,0.9778833975606364,0.7040760462436582,yes,958.2163360413842,yes,958.2163360413842,low,tick_or_liquidity_missing_used_conservative_proxy;token_decimals_not_confirmed,,pass
