pool,pool_name,size_usd,range_pct,hold_hours,hedge_ratio,funding_scenario,funding_apr_pct,reward_scenario_pct,reward_income_usd,claim_gas_usd,lp_fee_usd,il_usd,rebalance_count_24h,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,funding_income_usd,net_pnl_fee_only_usd,net_pnl_delta_hedged_usd,net_pnl_reward_adjusted_usd,signal_noise_reward_adjusted,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,5,5.000000,0,0.000000,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.051370,4.220351,-4.647533,-4.947533,0.970594,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,5,5.000000,15,0.308219,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.051370,4.220351,-4.647533,-4.639314,1.040168,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,5,5.000000,31.760000,0.652603,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.051370,4.220351,-4.647533,-4.294930,1.117905,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,5,5.000000,63.520000,1.305205,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.051370,4.220351,-4.647533,-3.642327,1.265215,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.500000,5,5.000000,100,2.054795,0.300000,4.499842,0.199991,0.333333,0.100000,0.159000,8.660254,0.051370,4.220351,-4.647533,-2.892738,1.434418,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.750000,median,0.825600,0,0.000000,0.300000,4.499842,0.199991,0.333333,0.150000,0.159000,4.330127,0.012723,4.220351,-0.406052,-0.706052,1.898340,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.750000,median,0.825600,15,0.308219,0.300000,4.499842,0.199991,0.333333,0.150000,0.159000,4.330127,0.012723,4.220351,-0.406052,-0.397833,2.034415,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.750000,median,0.825600,31.760000,0.652603,0.300000,4.499842,0.199991,0.333333,0.150000,0.159000,4.330127,0.012723,4.220351,-0.406052,-0.053450,2.186457,NEED_MORE_DATA
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.750000,median,0.825600,63.520000,1.305205,0.300000,4.499842,0.199991,0.333333,0.150000,0.159000,4.330127,0.012723,4.220351,-0.406052,0.599153,2.474574,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,72,0.750000,median,0.825600,100,2.054795,0.300000,4.499842,0.199991,0.333333,0.150000,0.159000,4.330127,0.012723,4.220351,-0.406052,1.348742,2.805510,GO
