pool,pool_name,size_usd,range_pct,hold_hours,l_factor,base_share,events_in_window,in_range_pct,total_volume_usd,total_pool_fee_usd,replay_fee_corrected_usd,replay_fee_r4_old_usd,correction_factor,median_share_pct,max_share_pct,proxy_fee_usd,capture_ratio_corrected,capture_ratio_old,il_estimate_usd,gas_usd,net_pnl_corrected_usd,net_pnl_old_usd,signal_noise_corrected,recommendation
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,24,461.74,0.00117453,80378,1.0000,45150575.93,4515.0576,5.296858,5.303080,0.998827,0.001173,0.001173,0.012352,428.8200,429.3236,0.2000,0.0795,5.0174,5.0236,50.9686,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,1,219.51,0.00055837,1855,1.0000,879203.64,87.9204,0.049065,0.049092,0.999442,0.000558,0.000558,0.000515,95.3320,95.3852,0.0037,0.0795,-0.0341,-0.0341,24.4950,NEED_MORE_DATA
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,6,219.51,0.00055837,13431,1.0000,5728953.13,572.8953,0.319710,0.319889,0.999442,0.000558,0.000558,0.003088,103.5316,103.5894,0.0222,0.0795,0.2180,0.2182,26.7739,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,24,219.51,0.00055837,80378,1.0000,45150575.93,4515.0576,2.519675,2.521082,0.999442,0.000558,0.000558,0.012352,203.9864,204.1003,0.0889,0.0795,2.3513,2.3527,54.6927,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,1,1721.74,0.01094909,1855,1.0000,879203.64,87.9204,0.952222,0.962648,0.989169,0.010831,0.010831,0.001287,740.0582,748.1612,0.0833,0.0795,0.7894,0.7998,20.8533,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,6,1721.74,0.01094909,13431,1.0000,5728953.13,572.8953,6.204744,6.272680,0.989169,0.010831,0.010831,0.007720,803.7120,812.5119,0.5000,0.0795,5.6252,5.6932,22.8190,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,24,1721.74,0.01094909,80378,1.0000,45150575.93,4515.0576,48.900338,49.435752,0.989169,0.010831,0.010831,0.030880,1583.5379,1600.8762,2.0000,0.0795,46.8208,47.3563,46.9003,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,1,461.74,0.00293633,1855,1.0000,879203.64,87.9204,0.257407,0.258163,0.997072,0.002928,0.002928,0.001287,200.0547,200.6422,0.0208,0.0795,0.1571,0.1578,22.7111,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,6,461.74,0.00293633,13431,1.0000,5728953.13,572.8953,1.677285,1.682210,0.997072,0.002928,0.002928,0.007720,217.2618,217.8998,0.1250,0.0795,1.4728,1.4777,24.8366,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,24,461.74,0.00293633,80378,1.0000,45150575.93,4515.0576,13.218884,13.257699,0.997072,0.002928,0.002928,0.030880,428.0667,429.3236,0.5000,0.0795,12.6394,12.6782,50.8755,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,1,219.51,0.00139593,1855,1.0000,879203.64,87.9204,0.122560,0.122731,0.998606,0.001394,0.001394,0.001287,95.2522,95.3852,0.0093,0.0795,0.0338,0.0340,24.4729,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,6,219.51,0.00139593,13431,1.0000,5728953.13,572.8953,0.798607,0.799722,0.998606,0.001394,0.001394,0.007720,103.4450,103.5894,0.0556,0.0795,0.6636,0.6647,26.7498,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,24,219.51,0.00139593,80378,1.0000,45150575.93,4515.0576,6.293918,6.302704,0.998606,0.001394,0.001394,0.030880,203.8157,204.1003,0.2222,0.0795,5.9922,6.0010,54.6453,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,1,1721.74,0.02189817,1855,1.0000,879203.64,87.9204,1.884038,1.925295,0.978571,0.021429,0.021429,0.002573,732.1289,748.1612,0.1667,0.0795,1.6379,1.6791,20.6085,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,6,1721.74,0.02189817,13431,1.0000,5728953.13,572.8953,12.276526,12.545360,0.978571,0.021429,0.021429,0.015440,795.1006,812.5119,1.0000,0.0795,11.1970,11.4659,22.5531,GO
