pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,data_quality_score,fee_per_dollar_per_day,fee_apr_est,min_viable_size_usdc,min_viable_hours,expected_net_at_mvs,passes_10usdc_24h,passes_50usdc_24h,passes_50usdc_7d,is_aero_paired,is_blue_chip_pair,fee_score,volume_persistence_score,tvl_depth_score,volatility_fit_score,gas_efficiency_score,token_risk_penalty,score,go_no_go,rank,r1_cycle_cost_usd,r2_cycle_cost_usd_observed,r1_expected_net_at_50_7d,r2_expected_net_at_50_7d,r2_passes_50_7d,r2_passes_10_24h,r2_passes_25_7d,r2_passes_50_24h
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,5,12476924.3528,83327150.5549506,1.842,MEDIUM,30,0.85,0.00333925,1.2188,,,,False,False,False,False,False,1.0,1.0,1.0,0.9386,0.1,0.2,0.5064,NO_GO,15,0.3,0.0795,0.0,1.0892,True,False,True,True
0xe846373c1a92b167b4e9cd5d8e4d6b1db9e90ec7,aerodrome-slipstream,EURC / USDC 0.05%,EURC,USDC,5,2921106.7778,5647177.18667824,-0.2,MEDIUM,30,0.85,0.00280791,1.0249,25.0,168,0.184035,False,False,True,False,False,1.0,0.3866,0.9236,0.9933,1.0,0.2,0.5922,NEED_MORE_DATA,8,0.3,0.0795,0.184,0.9032,True,False,False,True
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,aerodrome-slipstream,USDT / USDC 0.01%,USDT,USDC,1,1118884.1321,15366636.3958243,-0.236,MEDIUM,30,0.85,0.00222567,0.8124,,,,False,False,False,False,False,0.8124,1.0,0.8641,0.9921,0.1,0.2,0.4418,NO_GO,20,0.3,0.0795,0.0,0.6994,True,False,False,True
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,5,3183446.0776,34843015.7491768,1.237,LOW,0,0.85,0.00208798,0.7621,,,,False,False,False,False,True,0.7621,1.0,0.929,0.9588,0.1,0.0,0.6299,NO_GO,12,0.3,0.0795,0.0,0.6512,True,False,False,True
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,aerodrome-slipstream,USDC / cbBTC 1%,USDC,cbBTC,100,2916582.9369,7350171.06928329,0.381,MEDIUM,30,0.85,0.00195436,0.7133,,,,False,False,False,False,False,0.7133,0.504,0.9236,0.9873,0.1,0.2,0.3432,NO_GO,25,0.3,0.0795,0.0,0.6045,True,False,False,True
0x3f0296bf652e19bca772ec3df08b32732f93014a,aerodrome-slipstream,VIRTUAL / WETH 0.05%,VIRTUAL,WETH,5,452406.6468,6046097.87404295,-0.326,MEDIUM,30,0.85,0.00164534,0.6005,50.0,168,0.040667,False,False,True,False,False,0.6005,1.0,0.8079,0.9891,1.0,0.2,0.5524,NEED_MORE_DATA,9,0.3,0.0795,0.0407,0.4963,True,False,False,True
0x841c1a22d9a505cbba3e9bf90fd43e1201a09932ca0a90816579346be5f092af,uniswap-v4-base,USDC / USDT 0.01%,USDC,USDT,1,394955.7385,15103361.5911396,0.527,MEDIUM,30,0.85,0.00163381,0.5963,,,,False,False,False,False,False,0.5963,1.0,0.7995,0.9824,0.1,0.2,0.3696,NO_GO,21,0.3,0.0795,0.0,0.4923,True,False,False,True
0x1131db5977242a03ebead1acd18f80a9a29e5922,aerodrome-slipstream,SOL / USDC 0.022%,SOL,USDC 0.022%,0,214564.627,3047603.45968414,1.245,MEDIUM,45,0.85,0.00162004,0.5913,,,,False,False,False,False,False,0.5913,1.0,0.7617,0.9585,0.1,0.2,0.3619,NO_GO,24,0.3,0.0795,0.0,0.4875,True,False,False,True
0xd56da2b74ba826f19015e6b7dd9dae1903e85da1,uniswap-v3-base,USDT / USDC 0.01%,USDT,USDC,1,229978.7463,3586943.87512581,-0.198,MEDIUM,30,0.85,0.00160226,0.5848,,,,False,False,False,False,False,0.5848,1.0,0.766,0.9934,0.1,0.2,0.3639,NO_GO,22,0.3,0.0795,0.0,0.4812,True,False,False,True
0xb775272e537cc670c65dc852908ad47015244eaf,pancakeswap-v3-base,WETH / USDC 0.05%,WETH,USDC,5,1311944.4936,5839905.92299877,1.237,LOW,0,0.85,0.00155968,0.5693,50.0,168,0.03799,False,False,True,False,True,0.5693,0.8903,0.874,0.9588,1.0,0.0,0.7301,GO_TINY_LIVE,3,0.3,0.0795,0.038,0.4663,True,False,False,False
