regime,window,horizon,sample_count,valid_count,hold_median,hold_p10,hold_p5,hold_p1,risk_exit_p10,quarantine_avoided_loss_count,false_quarantine_rate,missed_profit_rate,worst_pool_contribution,tail_status
HEALTHY_SHORT_HOLD,recent_7d,30m,528,526,0.00785537732685986,-0.0215670614976004,-0.403537079518363,-1.19361962332245,-0.0215670614976004,0,,0.0,0.5495509065702681,FAIL
PRICE_SPIKE_VOLATILE,recent_24h,15m,1,1,0.00142786339856897,0.00142786339856897,0.00142786339856897,0.00142786339856897,0.00142786339856897,0,1.0,1.0,,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_24h,1h,1,1,0.00264215748765699,0.00264215748765699,0.00264215748765699,0.00264215748765699,0.00264215748765699,0,1.0,1.0,,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_24h,2h,1,1,0.0232576154592766,0.0232576154592766,0.0232576154592766,0.0232576154592766,0.0232576154592766,0,1.0,1.0,,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_24h,30m,1,1,0.00710316395236477,0.00710316395236477,0.00710316395236477,0.00710316395236477,0.00710316395236477,0,1.0,1.0,,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_72h,15m,14,14,-0.03257806737232335,-3.22455264944463,-3.22455264944463,-3.32833263267628,-3.22455264944463,8,0.42857142857142855,1.0,1.0,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_72h,1h,14,14,-0.10142042847240745,-3.19110162779565,-3.19110162779565,-3.28839733023734,-3.19110162779565,11,0.21428571428571427,1.0,1.0,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_72h,2h,14,14,-0.15318007637124348,-3.30245887316168,-3.30245887316168,-3.37445511831752,-3.30245887316168,9,0.35714285714285715,1.0,1.0,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_72h,30m,14,14,-0.015624519518058134,-3.1896903544415,-3.1896903544415,-3.29191683116408,-3.1896903544415,8,0.42857142857142855,1.0,1.0,INSUFFICIENT
PRICE_SPIKE_VOLATILE,recent_7d,15m,33,33,0.0170769904949103,-1.35534266425098,-2.06557174189499,-3.43932885555404,-1.35534266425098,11,0.6666666666666666,1.0,0.9217011452597024,FAIL
PRICE_SPIKE_VOLATILE,recent_7d,1h,33,33,0.075547817773223,-2.26204479905406,-3.21368556768219,-4.6952044948994,-2.26204479905406,9,0.7272727272727273,1.0,0.9517152278696028,FAIL
PRICE_SPIKE_VOLATILE,recent_7d,2h,33,33,0.054553889680284,-3.12426003713113,-3.18300621671543,-4.6790284888834,-3.12426003713113,11,0.6666666666666666,1.0,0.9980431076327108,FAIL
PRICE_SPIKE_VOLATILE,recent_7d,30m,33,33,0.0144996271324668,-2.30286610688522,-3.25955911588557,-4.69807054584617,-2.30286610688522,10,0.696969696969697,1.0,1.0,FAIL
TVL_DROP,recent_48h,15m,5,5,0.00486575161152443,-0.00298717720346408,-0.00298717720346408,-0.00298717720346408,-0.00298717720346408,1,0.8,1.0,1.0,INSUFFICIENT
TVL_DROP,recent_48h,1h,5,5,-0.225361585902436,-0.230562617437481,-0.230562617437481,-0.230562617437481,-0.230562617437481,3,0.4,1.0,1.0,INSUFFICIENT
