variant_name,window,horizon,capacity_usd,baseline_sample_count,baseline_median,baseline_p10,baseline_p5,baseline_p1,retained_sample_count,retained_median,retained_p10,retained_p5,retained_p1,opportunity_retention_rate,false_filter_rate,missed_profit_rate,loss_avoidance_rate,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,fee_minus_exit_cost_median,fee_minus_exit_cost_p10,worst_pool_contribution,verdict
exit_depth_soft_10usd,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,199,4.36865510439952e-05,-0.00864680500808427,-0.0147870896426244,-0.0218699261810236,0.08714596949891068,0.9128540305010894,0.999352765394994,0.842,0.6127315304863937,1.3416535389414557,4.696286001545496,-0.0301916266127154,-0.0302267462185031,0.9999999999999996,WEAK
exit_depth_soft_20usd,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
fee_velocity_rank_top30,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,537,0.0523395248738031,-0.298979463592015,-2.20568597819944,-7.7890347256874,0.307915758896151,0.6920842411038489,0.6150504762887089,0.774,0.32239887190246297,-0.84924534961536,-3.07087879796088,-0.0802456228339228,-0.0949866546881304,0.5682723899660355,WEAK
fee_velocity_rank_top50,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,944,0.053223456795642,-0.985684351763019,-2.17094988648822,-7.04623528679015,0.533042846768337,0.46695715323166304,0.348081483691843,0.5800000000000001,-0.3643060162685411,-0.81450925790414,-2.32807935906363,-0.075265932024763,-0.0931930997516322,0.6031707696858637,WEAK
fee_depth_balanced_score,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,874,0.053223456795642,-0.818664358414651,-2.23538079365983,-7.70867197520048,0.4974582425562818,0.5025417574437182,0.36764970821295534,0.622,-0.19728602292017305,-0.87894016507575,-2.9905160474739603,-0.0762327370554018,-0.0932354349826649,0.5770709234417397,WEAK
fee_depth_tail_guard,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,691,0.0147128928134149,-0.527380149056418,-0.912053242120086,-2.85074434509867,0.35802469135802467,0.6419753086419753,0.7380315561187484,0.604,0.09399818643806002,0.444387386463994,1.8674115826278501,-0.0503278733151228,-0.0639648652601755,0.6298877053512676,WEAK
small_cap_10usd_lenient,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,220,3.35746652343509e-05,-0.00774273591006421,-0.0146866523954227,-0.0203627287998226,0.09586056644880174,0.9041394335511983,0.9993396666482526,0.8240000000000001,0.6136355995844137,1.3417539761886572,4.697793198926697,-0.0301916266127154,-0.0302267462185031,0.9999999999999998,WEAK
small_cap_20usd_lenient,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
hybrid_fee_depth_plus_data_freshness,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,0,,,,,0.0,1.0,1.0,1.0,,,,,,,INSUFFICIENT
hybrid_fee_depth_plus_regime_soft,recent_7d,2h,10,1877,0.0233226859644982,-0.621378335494478,-1.35644062858408,-4.71815592772652,182,0.0696903150704854,-0.836503307426422,-1.19457246584944,-3.84562425702005,0.10675381263616558,0.8932461873638344,0.8478062904864869,0.9299999999999999,-0.21512497193194402,0.1618681627346399,0.8725316707064699,-0.0592119407322283,-0.0648179428678541,0.9258287281928256,BAD
