variant_name,window,horizon,capacity_usd,raw_sample_count,valid_sample_count,retained_sample_count,filtered_out_count,invalid_count,opportunity_retention_rate,data_quality_distribution,fee_proxy_coverage,exit_depth_coverage,leakage_risk_distribution
exit_depth_soft_20usd,recent_48h,30m,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,15m,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,15m,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,15m,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,1h,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,1h,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,1h,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,2h,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,2h,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,2h,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,30m,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,30m,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_72h,30m,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_7d,15m,10,1892,1887,0,1887,5,0.0,"{""invalid"": 5, ""ok"": 1887}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,15m,20,1892,1887,201,1686,5,0.10025706940874037,"{""invalid"": 5, ""ok"": 1887}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,15m,50,1892,1887,0,1887,5,0.0,"{""invalid"": 5, ""ok"": 1887}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,1h,10,1892,1884,0,1884,8,0.0,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,1h,20,1892,1884,200,1684,8,0.08910212474297464,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,1h,50,1892,1884,0,1884,8,0.0,"{""invalid"": 8, ""ok"": 1884}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,2h,10,1892,1877,0,1877,15,0.0,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,2h,20,1892,1877,199,1678,15,0.08714596949891068,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,2h,50,1892,1877,0,1877,15,0.0,"{""invalid"": 15, ""ok"": 1877}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,30m,10,1892,1886,0,1886,6,0.0,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,30m,20,1892,1886,200,1686,6,0.09671052631578947,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
exit_depth_soft_20usd,recent_7d,30m,50,1892,1886,0,1886,6,0.0,"{""invalid"": 6, ""ok"": 1886}",0.9619450317124736,0.9619450317124736,"{""LOW"": 1892}"
false_filter_cap_50pct,recent_24h,15m,10,320,312,281,31,8,0.8992537313432836,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,15m,20,320,312,285,27,8,0.9104477611940298,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,15m,50,320,312,312,0,8,1.0,"{""invalid"": 8, ""ok"": 312}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,1h,10,320,300,269,31,20,0.9102564102564102,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,1h,20,320,300,273,27,20,0.9102564102564102,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,1h,50,320,300,300,0,20,1.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,2h,10,320,284,253,31,36,0.9245283018867925,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,2h,20,320,284,257,27,36,0.9292452830188679,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
false_filter_cap_50pct,recent_24h,2h,50,320,284,284,0,36,1.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
