pool_address,token_a,token_b,token_a_decimals,token_b_decimals,tick_spacing,current_tick,sqrt_price,liquidity,amm_config,reward_infos_count,sdk_decode_success,confidence,invalid_reason
tqCiSbcbr1QKCv7fNA3gaEgCzTgy8acoghebPhN9XzU,So11111111111111111111111111111111111111112,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,9,6,1,-26403,4927389608994755640,93866575438,9EeWRCL8CJnikDFCDzG8rtmBs5KQR1jEYKCR5rRZ2NEi,3,true,0.92,
3aUkCrQm67n19Ugh5944jNiFjPeGthKEJZmKArZi3Cy3,So11111111111111111111111111111111111111112,EtUUCeNTxXZZEQMbwVJCh55aL48MovCkRdpXcbUxw6US,9,9,60,135988,16547248099506038279640,6892024376045,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
GUWFT7bbLphGrcpAPnnEnBbe1uErv9e6LLC2qPx2wZy1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7vQWurMkMMm2dU3iZpXYFTHT9Biio4F4gZCrwFpKNwG,6,6,1,24419,62539624528880257753,2889074812707,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
FC3a5AfSqZyyMGWjiNubetgnAqGh4b6HQGBX8iZhkyQE,So11111111111111111111111111111111111111112,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,9,6,1,-38825,2647912974950896842,319841828561,EdPxg8QaeFSrTYqdWJn6Kezwy9McWncTYueD9eMGCuzR,3,true,0.92,
6bb6zgM8q4Jx7po4EKDgz3s7gGSsKEqNkk73X3mfJtCZ,So11111111111111111111111111111111111111112,2yifqMoffHQ8tpQUTbdYzYsQ4o9fgkREVaGdYgF21Mfv,9,6,1,74558,767090694031589206758,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
BZtgQEyS6eXUXicYPHecYQ7PybqodXQMvkjUbP4R8mUU,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,6,1,8,18454541353555468410,26524644675655336,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
3zozghHn3cCmbAVPF3Bm5AiyT7VorSdHwTt2qJjLfDo2,So11111111111111111111111111111111111111112,XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,9,8,60,-25641,5118890126636540336,24241380500918,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
9DSTQ3PdPNNrE1gQhjjGnuMMZqctPW8qKtoeYfekMEAJ,So11111111111111111111111111111111111111112,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,9,6,1,57949,334361659177652817858,0,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
CRoTdDUM3NJGbuvB7Vr9rhmRxnSswMjnTLC1ANjhwsdq,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,6,10,6425,25435154990922873742,326051703598,DrdecJVzkaRsf1TQu1g7iFncaokikVTHqpzPjenjRySY,3,true,0.92,
CZkNKEwyeVJS2vHriYE3pG8CxRPL34PccTG88T6s5oAk,So11111111111111111111111111111111111111112,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,9,9,1,-337,18138710953889741889,1012829212996,3XCQJQryqpDvvZBfGxR7CLAw5dpGJ9aa7kt1jRLdyxuZ,3,true,0.92,
7Zg2KhVvcszsVqbfHUKeT9KEVdRJdCSX3VG7aWKFGGmF,So11111111111111111111111111111111111111112,DTZahb3EdVka3nwD7ohkWL1WFkTMVxC9HyYzJu27pcTf,9,6,1,52351,252736924523875876516,5488849239598,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
DP9Q72RFXVmX9UtGim71tckoGXN1dCb6QWoKFDfS8fMd,So11111111111111111111111111111111111111112,AeVzGq6z1RndB9Tk9dGT6RPADjZJpQwX6tudqSRkmAgp,9,6,1,21459,53936602801316235915,1060660171848,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
45ssPkUQs1ssbeDqxD2mZrMdJYAXF7GyQyhS5xDXuWC5,So11111111111111111111111111111111111111112,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,9,6,10,36947,116997612464408010432,26153220364848,DrdecJVzkaRsf1TQu1g7iFncaokikVTHqpzPjenjRySY,3,true,0.92,
B7FMajPsN3BdiB3gRH9goJP5nHqkHgBDpDv1VVoirMXD,So11111111111111111111111111111111111111112,6TgkQv4GowRe5p8KSivkKtGUBoSnT7ycapHDYn67xt8C,9,6,1,48908,212770437478515423269,5796550698573,9iFER3bpjf1PTTCQCfTRu17EJgvsxo9pVyA9QWwEuX4x,3,true,0.92,
3RA4PDZAZ49nm6hdDCnCTrnECqQD93ny8oHP4T1CSTcR,So11111111111111111111111111111111111111112,7JA5eZdCzztSfQbJvS8aVVxMFfd81Rs9VvwnocV1mKHu,9,9,1,60776,385123108145133344171,16889441264787,3XCQJQryqpDvvZBfGxR7CLAw5dpGJ9aa7kt1jRLdyxuZ,3,true,0.92,
AQAGYQsdU853WAKhXM79CgNdoyhrRwXvYHX6qrDyC1FS,So11111111111111111111111111111111111111112,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,9,6,60,-26381,4932962321222280243,32568930288680,E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,3,true,0.92,
