rank,pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,best_size_usdc,best_range_label,best_range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,score,go_no_go,reason
22,0xd56da2b74ba826f19015e6b7dd9dae1903e85da1,aerodrome,USDT / USDC 0.01%,USDT,USDC,1,230055.8129,3769984.01083513,0.495,MEDIUM,25,1.0,narrow_5pct,0.05,0.001639,0.00297,0.3,-0.301331,0.0055,0.2096,NO_GO,risk=MEDIUM
23,0xd364eb55e17700b54bd75feb3f14582ed7a29444,aerodrome,MAG7.ssi / USDC 0.3%,MAG7.ssi,USDC,30,5107136.6955,1006724.1164851,0.383,MEDIUM,25,1.0,narrow_5pct,0.05,0.000591,0.002298,0.3,-0.301707,0.002,0.2095,NO_GO,risk=MEDIUM
24,0x5d0bc342178c8fe2c2f9a9fcc9d52555c99936db,aerodrome,USDbC / USDC 0.05%,USDbC,USDC,5,148772.0151,746204.13464597,-0.774,MEDIUM,25,1.0,narrow_5pct,0.05,0.002508,0.004644,0.3,-0.302136,0.0084,0.2094,NO_GO,risk=MEDIUM
25,0xd08f1fb797bfacded23323178672557034c64cfa,aerodrome,deSPXA / USDC 0.05%,deSPXA,USDC,5,3465066.1995,7285474.02743657,-0.573,MEDIUM,25,1.0,narrow_5pct,0.05,0.001051,0.003438,0.3,-0.302387,0.0035,0.2093,NO_GO,risk=MEDIUM
26,0xc5e51044eb7318950b1afb044fccfb25782c48c1,aerodrome,EURC / USDC 0.01%,EURC,USDC,1,229947.381,3882232.3612997,-0.694,MEDIUM,25,1.0,narrow_5pct,0.05,0.001688,0.004164,0.3,-0.302476,0.0056,0.2093,NO_GO,risk=MEDIUM
27,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,cbBTC / WETH 0.05%,cbBTC,WETH,5,12383995.527,82051631.158721,1.023,MEDIUM,25,1.0,narrow_5pct,0.05,0.003313,0.006138,0.3,-0.302825,0.011,0.2092,NO_GO,risk=MEDIUM
28,0x2fbe93bf7177596c5d04675bdcef7bacaf98bd954dc26829fcda39f122239459,aerodrome,ETH / cbBTC 0.05%,ETH,cbBTC,5,1452275.2938,2608026.24448505,0.627,MEDIUM,25,1.0,narrow_5pct,0.05,0.000898,0.003762,0.3,-0.302864,0.003,0.2092,NO_GO,risk=MEDIUM
29,0x8bb9eaf3c5a906d20c4cc10ea2f73a3ac2d5d41a,aerodrome,cbETH / cbBTC 0.05%,cbETH,cbBTC,5,469916.9855,1005445.29813682,0.65,MEDIUM,25,1.0,narrow_5pct,0.05,0.00107,0.0039,0.3,-0.30283,0.0036,0.2092,NO_GO,risk=MEDIUM
30,0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a,aerodrome,ETH / USDC 0.05%,ETH,USDC,5,583364.2938,954310.733553572,0.62,MEDIUM,25,1.0,narrow_5pct,0.05,0.000818,0.00372,0.3,-0.302902,0.0027,0.2092,NO_GO,risk=MEDIUM
31,0x529d2863a1521d0b57db028168fde2e97120017c,aerodrome,VIRTUAL / USDC 0.3%,VIRTUAL,USDC,30,812257.3659,826151.326453874,-0.988,MEDIUM,25,1.0,narrow_5pct,0.05,0.003051,0.005928,0.3,-0.302877,0.0102,0.2092,NO_GO,risk=MEDIUM
