pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,size_usdc,range_label,range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,il_pct_per_day,can_tiny_live
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,10.0,medium_15pct,0.15,0.013108,0.03138,0.3,-0.318272,0.0437,0.003138,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,1.0,wide_40pct,0.4,0.001311,0.001046,0.3,-0.299735,0.0044,0.001046,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,3.0,wide_40pct,0.4,0.003932,0.003138,0.3,-0.299206,0.0131,0.001046,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,5.0,wide_40pct,0.4,0.006554,0.00523,0.3,-0.298676,0.0218,0.001046,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,cbBTC / WETH 0.01%,cbBTC,WETH,1,3657760.1852,47946386.5288782,1.046,MEDIUM,10.0,wide_40pct,0.4,0.013108,0.01046,0.3,-0.297352,0.0437,0.001046,False
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,1.0,narrow_5pct,0.05,0.001216,0.003612,0.3,-0.302396,0.0041,0.003612,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,3.0,narrow_5pct,0.05,0.003648,0.010836,0.3,-0.307188,0.0122,0.003612,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,5.0,narrow_5pct,0.05,0.00608,0.01806,0.3,-0.31198,0.0203,0.003612,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,10.0,narrow_5pct,0.05,0.012161,0.03612,0.3,-0.323959,0.0405,0.003612,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,1.0,medium_15pct,0.15,0.001216,0.001806,0.3,-0.30059,0.0041,0.001806,True
