pool_id,window,block_number,tx_hash,log_index,sender,recipient,amount0,amount1,tick
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816694,0x18de807ff1ca4f6ee98b3d554cd557e74cc076f0f1cd07bb4e1b422fd49755a2,184,0x1de460f363af910f51726def188f9004276bf4bc,0x1de460f363af910f51726def188f9004276bf4bc,-47704480187663125467,69393933483123534,-65335
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816695,0xf577951de3a47a2e9e702728ee5be329e854869e4a38dd93d642a57a45bc4296,92,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-1182534657846496873811,1720223561634697216,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816695,0x6bac0cfb5cfb6f9ed63e6ee5c16257be69163a410fba0c1a57e9c9118bb9a169,350,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-6582699388359558538,9575984244999816,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816695,0xd13b0b56f0e45f2d59e691bac02bd712597a381559f072fe2212c10a1a765904,365,0x00000000ae2193c4ac6521146b1adafe9b43361d,0x00000000ae2193c4ac6521146b1adafe9b43361d,10922339046471641000,-15885765961227874,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816696,0x6f1b747218c0f1b05fa8d758337c2d9e8fe6fa269b98bbca601ce896d8f00918,14,0xbce729580490534fdaa5a4306c49c019418e2823,0xbce729580490534fdaa5a4306c49c019418e2823,-1009680250339845159864,1468825741281491425,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816696,0x84bff38137ebb79d86e57051f047c25c325fd45741558d3f07be2faff8b061b6,69,0x1de460f363af910f51726def188f9004276bf4bc,0x1de460f363af910f51726def188f9004276bf4bc,198000000000000000000,-287985396258621344,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816696,0x511f1362ec5bec29fc792e08a51934ae5edda9e83eb582f9889a6b126a0f1171,130,0xb5a26660c0dba111771c1e55c5e8c302ccccd3f1,0xb5a26660c0dba111771c1e55c5e8c302ccccd3f1,31222704198908818,-45412393572094,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,24h,101816697,0x5f1ada5723d3a2329773519f7d85cc88d3f622115e624bd37b987291dd90d1b3,14,0x31d6ea082acc3d4e377528a721ac5c4b891726fb,0x31d6ea082acc3d4e377528a721ac5c4b891726fb,10012709713646760,-14563156062270,-65334
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759071,0x3636e3f1fab49f09111edc322d3aca06d76e153befdf464dc07b141c0ff289e7,101,0x72a815c51e0be4dfac8e089079fe8f36a9151c04,0x72a815c51e0be4dfac8e089079fe8f36a9151c04,5226340421314416594,-7551604542817798,-65400
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759073,0xeae518580f78c6611a43bce9efa54861240133aa8b13a1d4615cb4e3adc16bb5,39,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-864716278693934766100,1249707193976094464,-65400
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759073,0x38831b2e820b702ac7371351ae31588dc5212d63c2d99f0abf7274d15f7ce124,215,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,0x733ce7beed75a8c98268be0b05ec0e11359b5d38,-1674507192720289785153,2420137547151185789,-65399
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759074,0x3e22ac721b44e5a4272fabfe69b1fde8a2197d30c4d6bfda18429ee1b31e3269,5,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-2637441669896043879628,3812124985094586880,-65398
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759075,0x4e55e12c4bd015a9827f8a40c307744f57bf073a7b533f22e840afd99def42e0,52,0x904533e85d709dfd68bab4e185b65f3a57d62535,0x904533e85d709dfd68bab4e185b65f3a57d62535,22616394923097579023,-32684339037762894,-65398
0xf2688Fb5B81049DFB7703aDa5e770543770612C4,72h,101759076,0xdc981d582c1ea547e004ef9ac6593f391216272f78a4d87e676e370f0f0248c3,5,0x93c30e6e09f698cfea99b09b5166ed90cfaedd17,0x76801132a22801640284cd67f7dd41fed2926b6a,-3490743091794601904036,5045987434709283840,-65397
