run_id,pool_id,token_pair,virtual_notional_usd,horizon,fee_case,previous_positive_proxy,net_ev_proxy_usd,confidence,actual_fee_available,future_probe_only,created_at
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,30m,pool_level_fee_fallback,0,-100.75867562449112,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,30m,simulated_fee_diagnostic,0,-100.75867562449112,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,1h,pool_level_fee_fallback,0,-100.79990774436605,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,1h,simulated_fee_diagnostic,0,-100.79990774436605,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,2h,pool_level_fee_fallback,0,-100.86296242833059,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,100.0,2h,simulated_fee_diagnostic,0,-100.86296242833059,medium,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,15m,pool_level_fee_fallback,0,-501.1687695239319,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,15m,simulated_fee_diagnostic,0,-501.1687695239319,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,30m,pool_level_fee_fallback,0,-501.30616139490843,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,30m,simulated_fee_diagnostic,0,-501.30616139490843,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,1h,pool_level_fee_fallback,0,-501.5123219942831,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,1h,simulated_fee_diagnostic,0,-501.5123219942831,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,2h,pool_level_fee_fallback,0,-501.8275954141058,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,500.0,2h,simulated_fee_diagnostic,0,-501.8275954141058,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,15m,pool_level_fee_fallback,0,-1001.6862602839959,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,15m,simulated_fee_diagnostic,0,-1001.6862602839959,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,30m,pool_level_fee_fallback,0,-1001.9610440259489,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,30m,simulated_fee_diagnostic,0,-1001.9610440259489,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,1h,pool_level_fee_fallback,0,-1002.3733652246983,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,1h,simulated_fee_diagnostic,0,-1002.3733652246983,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,2h,pool_level_fee_fallback,0,-1003.0039120643437,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,1000.0,2h,simulated_fee_diagnostic,0,-1003.0039120643437,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,15m,pool_level_fee_fallback,0,-2002.705482890964,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,15m,simulated_fee_diagnostic,0,-2002.705482890964,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,30m,pool_level_fee_fallback,0,-2003.25505037487,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,30m,simulated_fee_diagnostic,0,-2003.25505037487,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,1h,pool_level_fee_fallback,0,-2004.0796927723688,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,1h,simulated_fee_diagnostic,0,-2004.0796927723688,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,2h,pool_level_fee_fallback,0,-2005.3407864516596,low,False,True,1780325777
20260601_145519,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC/WETH,2000.0,2h,simulated_fee_diagnostic,0,-2005.3407864516596,low,False,True,1780325777
20260601_145519,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,20.0,15m,pool_level_fee_fallback,0,-16.57926614037473,low,False,True,1780325777
20260601_145519,0xd0b53d9277642d899df5c87a3966a349a798f224,USDC/WETH,20.0,15m,simulated_fee_diagnostic,0,-16.57926614037473,low,False,True,1780325777
